"Country or Area","Year","Area","Sex","Language","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Algeria","2008","Total","Both Sexes","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","8286452.17689326","2,3"
"Algeria","2008","Total","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2015","7262.89990489839","2,3"
"Algeria","2008","Total","Both Sexes","French","Census - de jure - complete tabulation","Final figure, complete","2015","395815.870869116","2,3"
"Algeria","2008","Total","Both Sexes","None","Census - de jure - complete tabulation","Final figure, complete","2015","6881134.38141332","2,3"
"Algeria","2008","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2015","2573641.55961375","2,3"
"Algeria","2008","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","175069.683686826","2,3"
"Algeria","2008","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2015","15469705.6157959","2,3"
"Algeria","2008","Total","Male","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","6780481.87899311","2,3"
"Algeria","2008","Total","Male","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","4530189.44288704","2,3"
"Algeria","2008","Total","Male","English","Census - de jure - complete tabulation","Final figure, complete","2015","4179.92668859036","2,3"
"Algeria","2008","Total","Male","French","Census - de jure - complete tabulation","Final figure, complete","2015","271407.926309665","2,3"
"Algeria","2008","Total","Male","None","Census - de jure - complete tabulation","Final figure, complete","2015","2544627.17665849","2,3"
"Algeria","2008","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2015","1254421.40482515","2,3"
"Algeria","2008","Total","Male","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","84397.8595277914","2,3"
"Algeria","2008","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2015","15180469.343448","2,3"
"Algeria","2008","Total","Female","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","5550316.50807336","2,3"
"Algeria","2008","Total","Female","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","3756262.73399383","2,3"
"Algeria","2008","Total","Female","English","Census - de jure - complete tabulation","Final figure, complete","2015","3082.97321630801","2,3"
"Algeria","2008","Total","Female","French","Census - de jure - complete tabulation","Final figure, complete","2015","124407.944559484","2,3"
"Algeria","2008","Total","Female","None","Census - de jure - complete tabulation","Final figure, complete","2015","4336507.20475216","2,3"
"Algeria","2008","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2015","1319220.15478746","2,3"
"Algeria","2008","Total","Female","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","90671.8241590197","2,3"
"Algeria","2008","Urban","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2015","20154153.0307568","2,3"
"Algeria","2008","Urban","Both Sexes","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","7795319.66101606","2,3"
"Algeria","2008","Urban","Both Sexes","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","6374395.89079221","2,3"
"Algeria","2008","Urban","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2015","5177.56100616413","2,3"
"Algeria","2008","Urban","Both Sexes","French","Census - de jure - complete tabulation","Final figure, complete","2015","322532.822365706","2,3"
"Algeria","2008","Urban","Both Sexes","None","Census - de jure - complete tabulation","Final figure, complete","2015","3557579.68665047","2,3"
"Algeria","2008","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2015","1973802.56470951","2,3"
"Algeria","2008","Urban","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","125344.844347841","2,3"
"Algeria","2008","Urban","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2015","10128977.2856604","2,3"
"Algeria","2008","Urban","Male","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","4209483.95377816","2,3"
"Algeria","2008","Urban","Male","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","3416849.52593258","2,3"
"Algeria","2008","Urban","Male","English","Census - de jure - complete tabulation","Final figure, complete","2015","2827.18807068559","2,3"
"Algeria","2008","Urban","Male","French","Census - de jure - complete tabulation","Final figure, complete","2015","212423.400383466","2,3"
"Algeria","2008","Urban","Male","None","Census - de jure - complete tabulation","Final figure, complete","2015","1284128.68018092","2,3"
"Algeria","2008","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2015","943417.395727766","2,3"
"Algeria","2008","Urban","Male","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","59847.1416142083","2,3"
"Algeria","2008","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2015","10025175.7451563","2,3"
"Algeria","2008","Urban","Female","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","3585835.70723149","2,3"
"Algeria","2008","Urban","Female","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","2957546.36484642","2,3"
"Algeria","2008","Urban","Female","English","Census - de jure - complete tabulation","Final figure, complete","2015","2350.37293547854","2,3"
"Algeria","2008","Urban","Female","French","Census - de jure - complete tabulation","Final figure, complete","2015","110109.421982216","2,3"
"Algeria","2008","Urban","Female","None","Census - de jure - complete tabulation","Final figure, complete","2015","2273451.00646939","2,3"
"Algeria","2008","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2015","1030385.16898001","2,3"
"Algeria","2008","Urban","Female","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","65497.7027336216","2,3"
"Algeria","2008","Rural","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2015","10496021.9285416","2,3"
"Algeria","2008","Rural","Both Sexes","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","4535478.72606078","2,3"
"Algeria","2008","Rural","Both Sexes","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","1912056.28609555","2,3"
"Algeria","2008","Rural","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2015","2085.33889873426","2,3"
"Algeria","2008","Rural","Both Sexes","French","Census - de jure - complete tabulation","Final figure, complete","2015","73283.0485034398","2,3"
"Algeria","2008","Rural","Both Sexes","None","Census - de jure - complete tabulation","Final figure, complete","2015","3323554.69475788","2,3"
"Algeria","2008","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2015","599838.99490413","2,3"
"Algeria","2008","Rural","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","49724.8393389815","2,3"
"Algeria","2008","Rural","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2015","5340728.33020215","2,3"
"Algeria","2008","Rural","Male","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","2570997.9252149","2,3"
"Algeria","2008","Rural","Male","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","1113339.91694895","2,3"
"Algeria","2008","Rural","Male","English","Census - de jure - complete tabulation","Final figure, complete","2015","1352.73861790478","2,3"
"Algeria","2008","Rural","Male","French","Census - de jure - complete tabulation","Final figure, complete","2015","58984.5259261713","2,3"
"Algeria","2008","Rural","Male","None","Census - de jure - complete tabulation","Final figure, complete","2015","1260498.49647578","2,3"
"Algeria","2008","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2015","311004.009097291","2,3"
"Algeria","2008","Rural","Male","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","24550.7179135806","2,3"
"Algeria","2008","Rural","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2015","5155293.59836381","2,3"
"Algeria","2008","Rural","Female","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","1964480.80083812","2,3"
"Algeria","2008","Rural","Female","Arabic and French","Census - de jure - complete tabulation","Final figure, complete","2015","798716.369146908","2,3"
"Algeria","2008","Rural","Female","English","Census - de jure - complete tabulation","Final figure, complete","2015","732.600280829474","2,3"
"Algeria","2008","Rural","Female","French","Census - de jure - complete tabulation","Final figure, complete","2015","14298.522577267","2,3"
"Algeria","2008","Rural","Female","None","Census - de jure - complete tabulation","Final figure, complete","2015","2063056.19827981","2,3"
"Algeria","2008","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2015","288834.985806992","2,3"
"Algeria","2008","Rural","Female","Unknown","Census - de jure - complete tabulation","Final figure, complete","2015","25174.1214253962","2,3"
"American Samoa","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2001","49471","3,4"
"American Samoa","2000","Total","Both Sexes","Asian","Census - de jure - complete tabulation","Final figure, complete","2001","769","3,4"
"American Samoa","2000","Total","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2001","1440","3,4"
"American Samoa","2000","Total","Both Sexes","Other Pacific Islands","Census - de jure - complete tabulation","Final figure, complete","2001","1035","3,4"
"American Samoa","2000","Total","Both Sexes","Samoan","Census - de jure - complete tabulation","Final figure, complete","2001","44833","3,4"
"American Samoa","2000","Total","Both Sexes","Tongan","Census - de jure - complete tabulation","Final figure, complete","2001","1204","3,4"
"Anguilla","2001","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2003","11430",""
"Anguilla","2001","Total","Both Sexes","Chinese","Census - de facto - complete tabulation","Final figure, complete","2003","7",""
"Anguilla","2001","Total","Both Sexes","Dutch","Census - de facto - complete tabulation","Final figure, complete","2003","2",""
"Anguilla","2001","Total","Both Sexes","English","Census - de facto - complete tabulation","Final figure, complete","2003","11329",""
"Anguilla","2001","Total","Both Sexes","Spanish","Census - de facto - complete tabulation","Final figure, complete","2003","84",""
"Anguilla","2001","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2003","8",""
"Anguilla","2001","Total","Male","Total","Census - de facto - complete tabulation","Final figure, complete","2003","5628",""
"Anguilla","2001","Total","Male","Chinese","Census - de facto - complete tabulation","Final figure, complete","2003","6",""
"Anguilla","2001","Total","Male","Dutch","Census - de facto - complete tabulation","Final figure, complete","2003","2",""
"Anguilla","2001","Total","Male","English","Census - de facto - complete tabulation","Final figure, complete","2003","5580",""
"Anguilla","2001","Total","Male","Spanish","Census - de facto - complete tabulation","Final figure, complete","2003","37",""
"Anguilla","2001","Total","Male","Other","Census - de facto - complete tabulation","Final figure, complete","2003","3",""
"Anguilla","2001","Total","Female","Total","Census - de facto - complete tabulation","Final figure, complete","2003","5802",""
"Anguilla","2001","Total","Female","Chinese","Census - de facto - complete tabulation","Final figure, complete","2003","1",""
"Anguilla","2001","Total","Female","Dutch","Census - de facto - complete tabulation","Final figure, complete","2003","0",""
"Anguilla","2001","Total","Female","English","Census - de facto - complete tabulation","Final figure, complete","2003","5749",""
"Anguilla","2001","Total","Female","Spanish","Census - de facto - complete tabulation","Final figure, complete","2003","47",""
"Anguilla","2001","Total","Female","Other","Census - de facto - complete tabulation","Final figure, complete","2003","5",""
"Armenia","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","3018854",""
"Armenia","2011","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","2956615",""
"Armenia","2011","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","23484",""
"Armenia","2011","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","733",""
"Armenia","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","7020",""
"Armenia","2011","Total","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","30973",""
"Armenia","2011","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1448052",""
"Armenia","2011","Total","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1420964",""
"Armenia","2011","Total","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","7934",""
"Armenia","2011","Total","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","94",""
"Armenia","2011","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3381",""
"Armenia","2011","Total","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","15666",""
"Armenia","2011","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1570802",""
"Armenia","2011","Total","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1535651",""
"Armenia","2011","Total","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","15550",""
"Armenia","2011","Total","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","639",""
"Armenia","2011","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3639",""
"Armenia","2011","Total","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","15307",""
"Armenia","2011","Urban","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1911287",""
"Armenia","2011","Urban","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1886160",""
"Armenia","2011","Urban","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","17791",""
"Armenia","2011","Urban","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","552",""
"Armenia","2011","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2567",""
"Armenia","2011","Urban","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","4199",""
"Armenia","2011","Urban","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","895372",""
"Armenia","2011","Urban","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","886292",""
"Armenia","2011","Urban","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","5697",""
"Armenia","2011","Urban","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","75",""
"Armenia","2011","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1222",""
"Armenia","2011","Urban","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","2078",""
"Armenia","2011","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1015915",""
"Armenia","2011","Urban","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","999868",""
"Armenia","2011","Urban","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","12094",""
"Armenia","2011","Urban","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","477",""
"Armenia","2011","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1345",""
"Armenia","2011","Urban","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","2121",""
"Armenia","2011","Rural","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1107567",""
"Armenia","2011","Rural","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1070455",""
"Armenia","2011","Rural","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","5693",""
"Armenia","2011","Rural","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","181",""
"Armenia","2011","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","4453",""
"Armenia","2011","Rural","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","26774",""
"Armenia","2011","Rural","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","552680",""
"Armenia","2011","Rural","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","534672",""
"Armenia","2011","Rural","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","2237",""
"Armenia","2011","Rural","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","19",""
"Armenia","2011","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2159",""
"Armenia","2011","Rural","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","13588",""
"Armenia","2011","Rural","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","554887",""
"Armenia","2011","Rural","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","535783",""
"Armenia","2011","Rural","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","3456",""
"Armenia","2011","Rural","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","162",""
"Armenia","2011","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2294",""
"Armenia","2011","Rural","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","13186",""
"Armenia","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","3213011","5,6"
"Armenia","2001","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","3139152","5,6"
"Armenia","2001","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","29563","5,6"
"Armenia","2001","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","818","5,6"
"Armenia","2001","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","11679","5,6"
"Armenia","2001","Total","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","31799","5,6"
"Armenia","2001","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1541999","5,6"
"Armenia","2001","Total","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1511020","5,6"
"Armenia","2001","Total","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","9540","5,6"
"Armenia","2001","Total","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","91","5,6"
"Armenia","2001","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","5401","5,6"
"Armenia","2001","Total","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","15947","5,6"
"Armenia","2001","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1671012","5,6"
"Armenia","2001","Total","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1628132","5,6"
"Armenia","2001","Total","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","20023","5,6"
"Armenia","2001","Total","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","727","5,6"
"Armenia","2001","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","6278","5,6"
"Armenia","2001","Total","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","15852","5,6"
"Armenia","2001","Urban","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","2066153","5,6"
"Armenia","2001","Urban","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","2034296","5,6"
"Armenia","2001","Urban","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","22328","5,6"
"Armenia","2001","Urban","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","652","5,6"
"Armenia","2001","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","3366","5,6"
"Armenia","2001","Urban","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","5511","5,6"
"Armenia","2001","Urban","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","974826","5,6"
"Armenia","2001","Urban","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","963849","5,6"
"Armenia","2001","Urban","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","6771","5,6"
"Armenia","2001","Urban","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","85","5,6"
"Armenia","2001","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","1404","5,6"
"Armenia","2001","Urban","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","2717","5,6"
"Armenia","2001","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1091327","5,6"
"Armenia","2001","Urban","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1070447","5,6"
"Armenia","2001","Urban","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","15557","5,6"
"Armenia","2001","Urban","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","567","5,6"
"Armenia","2001","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","1962","5,6"
"Armenia","2001","Urban","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","2794","5,6"
"Armenia","2001","Rural","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1146858","5,6"
"Armenia","2001","Rural","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1104856","5,6"
"Armenia","2001","Rural","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","7235","5,6"
"Armenia","2001","Rural","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","166","5,6"
"Armenia","2001","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","8313","5,6"
"Armenia","2001","Rural","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","26288","5,6"
"Armenia","2001","Rural","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","567173","5,6"
"Armenia","2001","Rural","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","547171","5,6"
"Armenia","2001","Rural","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","2769","5,6"
"Armenia","2001","Rural","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","6","5,6"
"Armenia","2001","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","3997","5,6"
"Armenia","2001","Rural","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","13230","5,6"
"Armenia","2001","Rural","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","579685","5,6"
"Armenia","2001","Rural","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","557685","5,6"
"Armenia","2001","Rural","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","4466","5,6"
"Armenia","2001","Rural","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","160","5,6"
"Armenia","2001","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","4316","5,6"
"Armenia","2001","Rural","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","13058","5,6"
"Aruba","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","86408","3,7"
"Aruba","2000","Total","Both Sexes","Dutch","Census - de jure - complete tabulation","Final figure, complete","2009","5289","3,7"
"Aruba","2000","Total","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2009","7001","3,7"
"Aruba","2000","Total","Both Sexes","Papiamento","Census - de jure - complete tabulation","Final figure, complete","2009","59984","3,7"
"Aruba","2000","Total","Both Sexes","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2009","225","3,7"
"Aruba","2000","Total","Both Sexes","Spanish","Census - de jure - complete tabulation","Final figure, complete","2009","11368","3,7"
"Aruba","2000","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","1781","3,7"
"Aruba","2000","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","759","3,7"
"Aruba","2000","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2009","41366","3,7"
"Aruba","2000","Total","Male","Dutch","Census - de jure - complete tabulation","Final figure, complete","2009","2563","3"
"Aruba","2000","Total","Male","English","Census - de jure - complete tabulation","Final figure, complete","2009","3213","3"
"Aruba","2000","Total","Male","Papiamento","Census - de jure - complete tabulation","Final figure, complete","2009","28935","3"
"Aruba","2000","Total","Male","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2009","118","3"
"Aruba","2000","Total","Male","Spanish","Census - de jure - complete tabulation","Final figure, complete","2009","5165","3"
"Aruba","2000","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2009","982","3"
"Aruba","2000","Total","Male","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","391","3"
"Aruba","2000","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2009","45042","3,7"
"Aruba","2000","Total","Female","Dutch","Census - de jure - complete tabulation","Final figure, complete","2009","2726","3"
"Aruba","2000","Total","Female","English","Census - de jure - complete tabulation","Final figure, complete","2009","3788","3"
"Aruba","2000","Total","Female","Papiamento","Census - de jure - complete tabulation","Final figure, complete","2009","31050","3"
"Aruba","2000","Total","Female","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2009","107","3"
"Aruba","2000","Total","Female","Spanish","Census - de jure - complete tabulation","Final figure, complete","2009","6203","3"
"Aruba","2000","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2009","799","3"
"Aruba","2000","Total","Female","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","369","3"
"Australia","2016","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2017","23401892","8"
"Australia","2016","Total","Both Sexes","Aboriginal","Census - de jure - complete tabulation","Final figure, complete","2017","651","8"
"Australia","2016","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2017","9181","8"
"Australia","2016","Total","Both Sexes","Arabic","Census - de jure - complete tabulation","Final figure, complete","2017","321728","8"
