,NIVEAU_GÉO,GÉO,QUESTION,LANGUE,CHIFFRE_TOTAL
572,Pays,Canada,Langue maternelle,Bosniaque,13820
573,Pays,Canada,Langue maternelle,Croate,43500
574,Pays,Canada,Langue maternelle,Serbe,57425
575,Pays,Canada,Langue maternelle,"Serbo-croate, n.i.a.",1995
576,Pays,Canada,Langue maternelle,Slovaque,15255
577,Pays,Canada,Langue maternelle,Slovène,7965
578,Pays,Canada,Langue maternelle,Ukrainien,84705
579,Pays,Canada,Langue maternelle,"Langues slaves, n.i.a.",440
581,Pays,Canada,Langue maternelle,Irlandais,665
582,Pays,Canada,Langue maternelle,Gaélique écossais,425
583,Pays,Canada,Langue maternelle,Gallois,825
584,Pays,Canada,Langue maternelle,"Langues celtiques, n.i.a.",230
586,Pays,Canada,Langue maternelle,Frison,1570
588,Pays,Canada,Langue maternelle,Allemand,272865
589,Pays,Canada,Langue maternelle,Allemand pennsylvanien,9065
590,Pays,Canada,Langue maternelle,Allemand suisse,7575
591,Pays,Canada,Langue maternelle,Yiddish,12060
593,Pays,Canada,Langue maternelle,Afrikaans,12270
594,Pays,Canada,Langue maternelle,Néerlandais,80315
595,Pays,Canada,Langue maternelle,"Bas-allemand, n.d.a.",8670
596,Pays,Canada,Langue maternelle,Bas-saxon,1270
597,Pays,Canada,Langue maternelle,Bas-allemand mennonite,33200
598,Pays,Canada,Langue maternelle,Vlaams (flamand),2935
600,Pays,Canada,Langue maternelle,Danois,9945
601,Pays,Canada,Langue maternelle,Islandais,905
602,Pays,Canada,Langue maternelle,Norvégien,3535
603,Pays,Canada,Langue maternelle,Suédois,5890
604,Pays,Canada,Langue maternelle,"Langues germaniques, n.i.a.",1330
605,Pays,Canada,Langue maternelle,Grec,93335
608,Pays,Canada,Langue maternelle,Assamais,545
609,Pays,Canada,Langue maternelle,Bengali,87580
610,Pays,Canada,Langue maternelle,Gujarati,138985
611,Pays,Canada,Langue maternelle,Hindi,152825
612,Pays,Canada,Langue maternelle,Kacchi,6930
613,Pays,Canada,Langue maternelle,Cachemiri,745
614,Pays,Canada,Langue maternelle,Konkani,3425
615,Pays,Canada,Langue maternelle,Marathi,14145
616,Pays,Canada,Langue maternelle,Népalais,23425
618,Pays,Canada,Langue maternelle,Odia,1125
619,Pays,Canada,Langue maternelle,"Oriya, n.d.a.",645
620,Pays,Canada,Langue maternelle,Pendjabi (panjabi),666585
621,Pays,Canada,Langue maternelle,Rohingya,545
622,Pays,Canada,Langue maternelle,Sindhi,3985
623,Pays,Canada,Langue maternelle,Singhalais,18000
624,Pays,Canada,Langue maternelle,Ourdou,235290
625,Pays,Canada,Langue maternelle,"Langues indo-aryennes, n.i.a.",3865
627,Pays,Canada,Langue maternelle,Baloutche,555
628,Pays,Canada,Langue maternelle,Kurde,16485
629,Pays,Canada,Langue maternelle,Parsi,555
630,Pays,Canada,Langue maternelle,Pachto,19520
632,Pays,Canada,Langue maternelle,Dari,57220
633,Pays,Canada,Langue maternelle,Persan iranien,179425
634,Pays,Canada,Langue maternelle,"Persan (farsi), n.d.a.",25975
635,Pays,Canada,Langue maternelle,"Langues iraniennes, n.i.a.",815
636,Pays,Canada,Langue maternelle,"Langues indo-iraniennes, n.i.a.",305
638,Pays,Canada,Langue maternelle,Catalan,905
639,Pays,Canada,Langue maternelle,Italien,319505
640,Pays,Canada,Langue maternelle,Portugais,240680
641,Pays,Canada,Langue maternelle,Roumain,93160
642,Pays,Canada,Langue maternelle,Espagnol,538870
643,Pays,Canada,Langue maternelle,"Langues italiques (romanes), n.i.a.",1165
644,Pays,Canada,Langue maternelle,"Langues indo-européennes, n.i.a.",385
645,Pays,Canada,Langue maternelle,Japonais,43850
646,Pays,Canada,Langue maternelle,Coréen,170400
647,Pays,Canada,Langue maternelle,Mongol,1850
649,Pays,Canada,Langue maternelle,Akan (twi),13120
650,Pays,Canada,Langue maternelle,Bamanankan,1855
651,Pays,Canada,Langue maternelle,Edo,1685
653,Pays,Canada,Langue maternelle,"Fulah (peul, pular, pulaar, fulfulde)",3520
654,Pays,Canada,Langue maternelle,Ga,815
655,Pays,Canada,Langue maternelle,Ganda,1890
656,Pays,Canada,Langue maternelle,Gikuyu,760
657,Pays,Canada,Langue maternelle,Igbo,5175
658,Pays,Canada,Langue maternelle,Kinyarwanda (rwanda),7380
659,Pays,Canada,Langue maternelle,Lingala,4260
660,Pays,Canada,Langue maternelle,Luba-kasaï,520
661,Pays,Canada,Langue maternelle,Mòoré,515
662,Pays,Canada,Langue maternelle,Mwani,695
663,Pays,Canada,Langue maternelle,Ndébélé,920
664,Pays,Canada,Langue maternelle,Rundi (kiroundi),8660
665,Pays,Canada,Langue maternelle,Shona,3605
666,Pays,Canada,Langue maternelle,Soninké,505
667,Pays,Canada,Langue maternelle,Langues sotho-tswana,520
668,Pays,Canada,Langue maternelle,Swahili,16000
669,Pays,Canada,Langue maternelle,Wojenaka,1030
670,Pays,Canada,Langue maternelle,Wolof,4890
671,Pays,Canada,Langue maternelle,Yoruba,15015
672,Pays,Canada,Langue maternelle,"Langues nigéro-congolaises, n.i.a.",13000
674,Pays,Canada,Langue maternelle,Dinka,1865
675,Pays,Canada,Langue maternelle,Nuer,1090
676,Pays,Canada,Langue maternelle,"Langues nilo-sahariennes, n.i.a.",3395
677,Pays,Canada,Langue maternelle,"Africain, n.d.a.",575
679,Pays,Canada,Langue maternelle,Langue des signes américaine,4965
680,Pays,Canada,Langue maternelle,Langue des signes québécoise,990
684,Pays,Canada,Langue maternelle,Hakka,9765
685,Pays,Canada,Langue maternelle,Mandarin,679255
686,Pays,Canada,Langue maternelle,Min dong,1310
687,Pays,Canada,Langue maternelle,"Min nan (chaochow, teochow, fou-kien, taïwanais)",27805
688,Pays,Canada,Langue maternelle,Wu (shanghaïen),8880
689,Pays,Canada,Langue maternelle,Yue (cantonais),553380
690,Pays,Canada,Langue maternelle,"Chinois, n.d.a.",11610
691,Pays,Canada,Langue maternelle,"Langues chinoises, n.i.a.",630
693,Pays,Canada,Langue maternelle,Birman,3305
696,Pays,Canada,Langue maternelle,Karen s’gaw,3900
697,Pays,Canada,Langue maternelle,"Langues karéniques, n.i.a.",615
698,Pays,Canada,Langue maternelle,Tibétain,7025
699,Pays,Canada,Langue maternelle,"Langues tibéto-birmanes, n.i.a.",890
700,Pays,Canada,Langue maternelle,"Langues sino-tibétaines, n.i.a.",585
702,Pays,Canada,Langue maternelle,Lao,11485
703,Pays,Canada,Langue maternelle,Thaï,10455
704,Pays,Canada,Langue maternelle,"Langues taï-kadaï, n.i.a.",410
706,Pays,Canada,Langue maternelle,Azerbaïdjanais,4490
707,Pays,Canada,Langue maternelle,Kazakh,540
708,Pays,Canada,Langue maternelle,Turc,44190
709,Pays,Canada,Langue maternelle,Ouïghour,1355
710,Pays,Canada,Langue maternelle,Ouzbek,1805
711,Pays,Canada,Langue maternelle,"Langues turques, n.i.a.",1150
713,Pays,Canada,Langue maternelle,Estonien,4485
714,Pays,Canada,Langue maternelle,Finnois,12200
715,Pays,Canada,Langue maternelle,Hongrois,51500
716,Pays,Canada,Langue maternelle,"Autres langues, n.i.a.",1060
718,Pays,Canada,Langue maternelle,Français et anglais,291325
719,Pays,Canada,Langue maternelle,Anglais et langue(s) non officielle(s),921480
720,Pays,Canada,Langue maternelle,Français et langue(s) non officielle(s),117910
721,Pays,Canada,Langue maternelle,"Français, anglais et langue(s) non officielle(s)",52880
722,Pays,Canada,Langue maternelle,Langues non officielles multiples,92095
737,Pays,Canada,Langue parlée le plus souvent à la maison,Anglais,23376200
738,Pays,Canada,Langue parlée le plus souvent à la maison,Français,7044855
742,Pays,Canada,Langue parlée le plus souvent à la maison,Pied-noir,980
744,Pays,Canada,Langue parlée le plus souvent à la maison,Atikamekw,4345
746,Pays,Canada,Langue parlée le plus souvent à la maison,Ililimowin (cri de Moose),50
747,Pays,Canada,Langue parlée le plus souvent à la maison,Inu Ayimun (cri du Sud-Est),560
748,Pays,Canada,Langue parlée le plus souvent à la maison,Iyiyiw-Ayimiwin (cri du Nord-Est),2545
749,Pays,Canada,Langue parlée le plus souvent à la maison,Nehinawewin (cri des marais),665
750,Pays,Canada,Langue parlée le plus souvent à la maison,Nehiyawewin (cri des plaines),1455
751,Pays,Canada,Langue parlée le plus souvent à la maison,Nihithawiwin (cri des bois),830
752,Pays,Canada,Langue parlée le plus souvent à la maison,"Cri, n.d.a.",20585
753,Pays,Canada,Langue parlée le plus souvent à la maison,Innu (montagnais),6710
754,Pays,Canada,Langue parlée le plus souvent à la maison,Naskapi,505
756,Pays,Canada,Langue parlée le plus souvent à la maison,Mi'kmaq,2595
757,Pays,Canada,Langue parlée le plus souvent à la maison,Wolastoqewi (malécite),55
759,Pays,Canada,Langue parlée le plus souvent à la maison,Anicinabemowin (algonquin),230
760,Pays,Canada,Langue parlée le plus souvent à la maison,Oji-cri,4540
762,Pays,Canada,Langue parlée le plus souvent à la maison,Anishinaabemowin (chippewa),145
763,Pays,Canada,Langue parlée le plus souvent à la maison,Daawaamwin (odawa),25
764,Pays,Canada,Langue parlée le plus souvent à la maison,Saulteaux (ojibwé occidental),390
765,Pays,Canada,Langue parlée le plus souvent à la maison,"Ojibwé, n.d.a.",2925
766,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues algonquiennes, n.i.a.",0
769,Pays,Canada,Langue parlée le plus souvent à la maison,Dakelh (porteur),220
770,Pays,Canada,Langue parlée le plus souvent à la maison,Dane-zaa (castor),30
771,Pays,Canada,Langue parlée le plus souvent à la maison,"Déné, n.d.a.",5255
772,Pays,Canada,Langue parlée le plus souvent à la maison,Gwich'in,35
774,Pays,Canada,Langue parlée le plus souvent à la maison,Deh Gah Ghotie Zhatie (esclave du Sud),200
775,Pays,Canada,Langue parlée le plus souvent à la maison,Satuotine Yati (esclave du Nord),115
776,Pays,Canada,Langue parlée le plus souvent à la maison,"Esclave, n.d.a.",395
778,Pays,Canada,Langue parlée le plus souvent à la maison,Kaska (nahani),5
779,Pays,Canada,Langue parlée le plus souvent à la maison,Tahltan,5
780,Pays,Canada,Langue parlée le plus souvent à la maison,Tlicho (flanc-de-chien),755
781,Pays,Canada,Langue parlée le plus souvent à la maison,Tse'khene (sekani),0
782,Pays,Canada,Langue parlée le plus souvent à la maison,Tsilhqot'in (chilcotin),165
783,Pays,Canada,Langue parlée le plus souvent à la maison,Tsuu T'ina (sarsi),0
785,Pays,Canada,Langue parlée le plus souvent à la maison,Tutchone du Nord,5
786,Pays,Canada,Langue parlée le plus souvent à la maison,Tutchone du Sud,0
787,Pays,Canada,Langue parlée le plus souvent à la maison,"Tutchone, n.d.a.",0
788,Pays,Canada,Langue parlée le plus souvent à la maison,Wetsuwet'en-babine,40
789,Pays,Canada,Langue parlée le plus souvent à la maison,Tlingit,10
790,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues athabascanes, n.i.a.",15
791,Pays,Canada,Langue parlée le plus souvent à la maison,Haïda,10
794,Pays,Canada,Langue parlée le plus souvent à la maison,Inuinnaqtun,95
795,Pays,Canada,Langue parlée le plus souvent à la maison,Inuvialuktun,50
796,Pays,Canada,Langue parlée le plus souvent à la maison,Inuktitut,27140
797,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues inuktutes (inuites), n.i.a.",10
799,Pays,Canada,Langue parlée le plus souvent à la maison,Cayuga,15
800,Pays,Canada,Langue parlée le plus souvent à la maison,Mohawk,65
801,Pays,Canada,Langue parlée le plus souvent à la maison,Oneida,15
802,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues iroquoiennes, n.i.a.",5
803,Pays,Canada,Langue parlée le plus souvent à la maison,Ktunaxa (kutenai),5
804,Pays,Canada,Langue parlée le plus souvent à la maison,Michif,150
806,Pays,Canada,Langue parlée le plus souvent à la maison,Halkomelem,50
807,Pays,Canada,Langue parlée le plus souvent à la maison,Lillooet,35
808,Pays,Canada,Langue parlée le plus souvent à la maison,Ntlakapamux (thompson),35
809,Pays,Canada,Langue parlée le plus souvent à la maison,Secwepemctsin (shuswap),85
810,Pays,Canada,Langue parlée le plus souvent à la maison,Squamish,5
811,Pays,Canada,Langue parlée le plus souvent à la maison,Straits,30
812,Pays,Canada,Langue parlée le plus souvent à la maison,Syilx (okanagan),15
813,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues salishennes, n.i.a.",5
815,Pays,Canada,Langue parlée le plus souvent à la maison,Assiniboine,10
816,Pays,Canada,Langue parlée le plus souvent à la maison,Dakota,120
817,Pays,Canada,Langue parlée le plus souvent à la maison,Stoney,90
818,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues siouennes, n.i.a.",15
820,Pays,Canada,Langue parlée le plus souvent à la maison,Gitxsan (gitksan),120
821,Pays,Canada,Langue parlée le plus souvent à la maison,Nisga'a,85
822,Pays,Canada,Langue parlée le plus souvent à la maison,Tsimshian,10
824,Pays,Canada,Langue parlée le plus souvent à la maison,Haisla,10
825,Pays,Canada,Langue parlée le plus souvent à la maison,Heiltsuk,5
826,Pays,Canada,Langue parlée le plus souvent à la maison,Kwak'wala (kwakiutl),20
827,Pays,Canada,Langue parlée le plus souvent à la maison,Nuu-chah-nulth (nootka),25
828,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues wakashanes, n.i.a.",5
829,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues autochtones, n.i.a.",15
830,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues autochtones, n.d.a.",85
834,Pays,Canada,Langue parlée le plus souvent à la maison,Kabyle,10180
835,Pays,Canada,Langue parlée le plus souvent à la maison,Tamazight,840
836,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues berbères, n.i.a.",280
838,Pays,Canada,Langue parlée le plus souvent à la maison,Haoussa,635
839,Pays,Canada,Langue parlée le plus souvent à la maison,Mina,200
840,Pays,Canada,Langue parlée le plus souvent à la maison,Copte,545
842,Pays,Canada,Langue parlée le plus souvent à la maison,Bilen,1645
843,Pays,Canada,Langue parlée le plus souvent à la maison,Oromo,3890
844,Pays,Canada,Langue parlée le plus souvent à la maison,Somali,24410
845,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues couchitiques, n.i.a.",425
847,Pays,Canada,Langue parlée le plus souvent à la maison,Amharique,14030
848,Pays,Canada,Langue parlée le plus souvent à la maison,Arabe,285915
850,Pays,Canada,Langue parlée le plus souvent à la maison,Assyrien néo-araméen,12935
851,Pays,Canada,Langue parlée le plus souvent à la maison,Chaldéen néo-araméen,6585
852,Pays,Canada,Langue parlée le plus souvent à la maison,"Araméen, n.d.a.",1220
853,Pays,Canada,Langue parlée le plus souvent à la maison,Harari,680
854,Pays,Canada,Langue parlée le plus souvent à la maison,Hébreu,8515
855,Pays,Canada,Langue parlée le plus souvent à la maison,Maltais,795
856,Pays,Canada,Langue parlée le plus souvent à la maison,Tigrigna,21860
857,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues sémitiques, n.i.a.",250
859,Pays,Canada,Langue parlée le plus souvent à la maison,Khmer (cambodgien),10650
860,Pays,Canada,Langue parlée le plus souvent à la maison,Vietnamien,116785
861,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues austro-asiatiques, n.i.a.",300
863,Pays,Canada,Langue parlée le plus souvent à la maison,Bicol,760
864,Pays,Canada,Langue parlée le plus souvent à la maison,"Bisaya, n.d.a.",4125
865,Pays,Canada,Langue parlée le plus souvent à la maison,Cebuano,10195
866,Pays,Canada,Langue parlée le plus souvent à la maison,Fidjien,200
867,Pays,Canada,Langue parlée le plus souvent à la maison,Hiligaïnon,5015
868,Pays,Canada,Langue parlée le plus souvent à la maison,Ilocano,18350
869,Pays,Canada,Langue parlée le plus souvent à la maison,Indonésien,4150
870,Pays,Canada,Langue parlée le plus souvent à la maison,Kankanaey,585
871,Pays,Canada,Langue parlée le plus souvent à la maison,Kinaray-a,320
873,Pays,Canada,Langue parlée le plus souvent à la maison,Merina,330
874,Pays,Canada,Langue parlée le plus souvent à la maison,"Malgache, n.d.a.",390
875,Pays,Canada,Langue parlée le plus souvent à la maison,Malais,280
876,Pays,Canada,Langue parlée le plus souvent à la maison,"Pampangan (kapampangan, pampango)",3030
877,Pays,Canada,Langue parlée le plus souvent à la maison,Pangasinan,680
878,Pays,Canada,Langue parlée le plus souvent à la maison,"Tagalog (pilipino, filipino)",275045
879,Pays,Canada,Langue parlée le plus souvent à la maison,Waray-waray,680
880,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues austronésiennes, n.i.a.",2100
882,Pays,Canada,Langue parlée le plus souvent à la maison,Créole haïtien,22610
883,Pays,Canada,Langue parlée le plus souvent à la maison,Créole jamaïcain anglais,300
884,Pays,Canada,Langue parlée le plus souvent à la maison,Krio,360
885,Pays,Canada,Langue parlée le plus souvent à la maison,Mauricien,3640
886,Pays,Canada,Langue parlée le plus souvent à la maison,Sango,295
887,Pays,Canada,Langue parlée le plus souvent à la maison,"Créole, n.d.a.",7120
888,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues créoles, n.i.a.",870
890,Pays,Canada,Langue parlée le plus souvent à la maison,Kannada,3060
891,Pays,Canada,Langue parlée le plus souvent à la maison,Malayalam,35390
892,Pays,Canada,Langue parlée le plus souvent à la maison,Tamoul,112335
893,Pays,Canada,Langue parlée le plus souvent à la maison,Telougou,18470
894,Pays,Canada,Langue parlée le plus souvent à la maison,Tulu,240
895,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues dravidiennes, n.i.a.",205
896,Pays,Canada,Langue parlée le plus souvent à la maison,Géorgien,1335
897,Pays,Canada,Langue parlée le plus souvent à la maison,Langues hmong-mien,215
899,Pays,Canada,Langue parlée le plus souvent à la maison,Albanais,14110
900,Pays,Canada,Langue parlée le plus souvent à la maison,Arménien,21970
903,Pays,Canada,Langue parlée le plus souvent à la maison,Letton,880
904,Pays,Canada,Langue parlée le plus souvent à la maison,Lituanien,1615
906,Pays,Canada,Langue parlée le plus souvent à la maison,Biélorusse,215
907,Pays,Canada,Langue parlée le plus souvent à la maison,Bulgare,10315
908,Pays,Canada,Langue parlée le plus souvent à la maison,Tchèque,5680
909,Pays,Canada,Langue parlée le plus souvent à la maison,Macédonien,6105
910,Pays,Canada,Langue parlée le plus souvent à la maison,Polonais,65140
911,Pays,Canada,Langue parlée le plus souvent à la maison,Russe,125780
912,Pays,Canada,Langue parlée le plus souvent à la maison,Russine,290
914,Pays,Canada,Langue parlée le plus souvent à la maison,Bosniaque,6480
915,Pays,Canada,Langue parlée le plus souvent à la maison,Croate,14925
916,Pays,Canada,Langue parlée le plus souvent à la maison,Serbe,31110
917,Pays,Canada,Langue parlée le plus souvent à la maison,"Serbo-croate, n.i.a.",640
918,Pays,Canada,Langue parlée le plus souvent à la maison,Slovaque,5015
919,Pays,Canada,Langue parlée le plus souvent à la maison,Slovène,1375
920,Pays,Canada,Langue parlée le plus souvent à la maison,Ukrainien,27825
921,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues slaves, n.i.a.",95
923,Pays,Canada,Langue parlée le plus souvent à la maison,Irlandais,310
924,Pays,Canada,Langue parlée le plus souvent à la maison,Gaélique écossais,105
925,Pays,Canada,Langue parlée le plus souvent à la maison,Gallois,100
926,Pays,Canada,Langue parlée le plus souvent à la maison,"Langues celtiques, n.i.a.",40
