LIST,WORD
900,flat
900,fruit
900,fun
900,guess
900,hat
900,hit
900,indicate
900,industry
900,insects
900,interesting
900,Japanese
900,lie
900,lifted
900,loud
900,major
900,mall
900,meat
900,mine
900,modern
900,movement
900,necessary
900,observe
900,park
900,particular
900,planets
900,poem
900,pole
900,position
900,process
900,property
900,provide
900,rather
900,rhythm
900,rich
900,safe
900,sand
900,science
900,sell
900,send
900,sense
900,seven
900,sharp
900,shoulder
900,sight
900,silent
900,soldiers
900,spot
900,spread
900,stream
900,string
900,suggested
900,supply
900,swim
900,terms
900,thick
900,thin
900,thus
900,tied
900,tone
900,trade
900,tube
900,value
900,wash
900,wasn't
900,weight
900,wife
900,wings
900,won't
1000,action
1000,actually
1000,adjective
1000,afraid
1000,agreed
1000,ahead
1000,allow
1000,apple
1000,arrived
1000,born
1000,bought
1000,British
1000,capital
1000,chance
1000,chart
1000,church
1000,column
1000,company
1000,conditions
1000,corn
1000,cotton
1000,cows
1000,create
1000,dead
1000,deal
1000,death
1000,details
1000,determine
1000,difficult
1000,division
1000,doesn't
1000,effect
1000,entire
1000,especially
1000,evening
1000,experience
1000,factories
1000,fair
1000,fear
1000,fig
1000,forward
1000,France
1000,fresh
1000,Greek
1000,gun
1000,hoe
1000,huge
1000,isn't
1000,led
1000,level
1000,located
1000,march
1000,match
1000,molecules
1000,northern
1000,nose
1000,office
1000,opposite
1000,oxygen
1000,plural
1000,prepared
1000,pretty
1000,printed
1000,radio
1000,repeated
1000,rope
1000,rose
1000,score
1000,seat
1000,settled
1000,shoes
1000,shop
1000,similar
1000,sir
1000,sister
1000,smell
1000,solution
1000,southern
1000,steel
1000,stretched
1000,substances
1000,suffix
1000,sugar
1000,tools
1000,total
1000,track
1000,triangle
1000,truck
1000,underline
1000,various
1000,view
1000,Washington
1000,we'll
1000,western
1000,win
1000,women
1000,workers
1000,wouldn't
1000,wrong
1000,yellow
