# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:47:49 2023
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 3170,HIP 3170,HD 3823,GJ 29,2MASS J00402566-5927168,1,0,0,0,0,0,0,00h40m24.66s,10.102734,-59d27m20.5s,-59.455681,24.96,0.25,-0.25,5.890,0.010,0.560,0.020,F6/8V,2.420,0.100
HIP 3185,HIP 3185,HD 3795,GJ 27.2,2MASS J00403279-2348172,1,0,0,0,0,0,0,00h40m32.40s,10.135016,-23d48m14.4s,-23.803993,28.89,0.29,-0.29,6.140,0.010,0.720,0.010,G3/5V,2.760,0.110
HIP 3203 A,HIP 3203 A,HD 3821,GJ 9020 A,2MASS J00404747-0713574,1,0,0,0,0,0,0,00h40m47.48s,10.197843,-07d13m56.6s,-7.232384,26.50,0.54,-0.52,7.020,0.010,0.620,0.020,G2/3V,0.980,0.060
HIP 3206,HIP 3206,HD 3765,GJ 28,2MASS J00404929+4011133,1,0,0,0,0,0,0,00h40m49.00s,10.204158,+40d11m19.7s,40.188799,17.33,0.18,-0.17,7.360,0.010,0.940,0.020,K2V,0.370,0.050
HIP 3261,HIP 3261,,GJ 1016,2MASS J00413051-3337317,1,0,0,0,0,0,0,00h41m30.72s,10.377988,-33d37m29.8s,-33.624954,19.53,0.81,-0.75,10.530,0.010,1.440,0.010,,0.060,0.110
HIP 3362,HIP 3362,,GJ 29.1,2MASS J00424820+3532554,1,0,0,0,0,0,0,00h42m48.06s,10.700258,+35d32m55.0s,35.548603,23.30,1.75,-1.52,10.440,0.230,1.540,0.230,M1Ve+...,0.120,0.440
HIP 3378,HIP 3378,,,2MASS J00425668+2239350,1,0,0,0,0,0,0,00h42m56.51s,10.735442,+22d39m34.5s,22.659574,28.93,2.86,-2.39,11.550,0.010,1.440,0.020,M1,0.050,0.220
HIP 3418,HIP 3418,,GJ 30,2MASS J00433289+3350412,1,0,0,0,0,0,0,00h43m33.00s,10.887509,+33d50m43.6s,33.845433,20.57,0.42,-0.40,8.730,0.010,1.130,0.020,K8,0.200,0.060
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,10.896785,-17d59m12.1s,-17.986684,29.53,,,2.020,0.020,1.040,0.020,K0III,151.950,0.060
HD 4308,HIP 3497,HD 4308,GJ 31.5,2MASS J00443925-6538581,1,0,0,0,0,1,1,00h44m39.04s,11.162685,-65d38m51.8s,-65.647718,22.06,0.22,-0.22,6.550,0.000,0.660,0.010,G5V,1.070,0.030
HIP 3505,HIP 3505,HD 4247,GJ 31.3,2MASS J00444439-2200219,1,0,0,0,0,0,0,00h44m44.44s,11.185155,-22d00m22.8s,-22.006332,26.75,0.27,-0.26,5.220,0.020,0.320,0.020,F0V,4.850,0.040
HIP 3535,HIP 3535,HD 4256,GJ 31.4,2MASS J00450489+0147077,1,0,0,0,0,0,0,00h45m04.92s,11.270512,+01d47m12.9s,1.786914,21.57,0.22,-0.21,8.000,0.010,1.020,0.010,K3V,0.320,0.050
HIP 3583,HIP 3583,HD 4391,GJ 1021,2MASS J00454561-4733072,1,0,0,0,0,0,0,00h45m45.43s,11.439308,-47d33m07.8s,-47.552176,15.16,0.15,-0.15,5.800,0.000,0.640,0.000,G1V,0.980,0.020
HIP 3588 A,HIP 3588 A,HD 4378 A,GJ 32 A,2MASS J00454828-4154330,1,0,0,0,0,0,0,00h45m48.05s,11.450198,-41d54m32.4s,-41.909009,15.82,0.32,-0.31,7.880,0.010,1.260,0.010,K5/M0V,0.200,0.110
HIP 3645,HIP 3645,HD 4449,,2MASS J00464052-0425371,1,0,0,0,0,0,0,00h46m40.52s,11.668823,-04d25m35.1s,-4.426405,28.76,2.50,-2.13,7.570,0.000,0.820,0.010,K0/1V,0.790,0.180
HIP 3757,HIP 3757,,,2MASS J00481333-0508074,1,0,0,0,0,0,0,00h48m13.23s,12.055117,-05d08m06.6s,-5.135178,23.77,2.35,-1.96,12.050,0.020,1.510,0.020,M2.5V,0.030,0.240
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,12.093888,+05d17m00.2s,5.283389,7.45,,,5.740,0.010,0.890,0.010,K1V,0.300,0.050
HIP 3810,HIP 3810,HD 4676,GJ 34.1,2MASS J00485869+1656266,1,0,0,0,0,0,0,00h48m58.71s,12.244624,+16d56m28.1s,16.941134,23.45,0.24,-0.23,5.060,0.020,0.500,0.000,F8V...,4.490,0.100
HIP 3813,HIP 3813,,GJ 3059,2MASS J00490173-5008419,1,0,0,0,0,0,0,00h49m01.48s,12.256159,-50d08m39.8s,-50.144394,21.59,0.90,-0.83,10.730,0.010,1.460,0.010,M2,0.060,0.140
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,12.271253,+57d48m59.6s,57.816548,5.94,0.06,-0.06,3.450,0.020,0.570,0.020,G3V,1.310,0.060
HIP 3829,HIP 3829,,GJ 35,2MASS J00490996+0523173,1,0,0,0,0,0,0,00h49m09.18s,12.288238,+05d23m42.7s,5.395198,4.30,,,12.370,0.000,0.550,0.000,DZ7,0.000,0.030
HIP 3850,HIP 3850,HD 4747,GJ 36,2MASS J00492678-2312447,1,0,0,0,0,0,0,00h49m26.44s,12.360155,-23d12m46.0s,-23.212774,18.69,0.19,-0.19,7.160,0.010,0.770,0.010,G8/K0V,0.470,0.040
HIP 3876,HIP 3876,HD 4635,,2MASS J00494647+7026583,1,0,0,0,0,0,0,00h49m45.84s,12.440996,+70d26m56.4s,70.448997,21.63,0.22,-0.21,7.730,0.020,0.900,0.020,K0,0.400,0.060
HIP 3879,HIP 3879,HD 4838,,2MASS J00494831-5435357,1,0,0,0,0,0,0,00h49m48.23s,12.450944,-54d35m36.1s,-54.593364,28.71,1.20,-1.10,9.500,0.050,1.160,0.010,K4V,0.190,0.130
HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,12.532185,-10d38m37.6s,-10.643770,15.75,0.16,-0.16,5.160,0.020,0.510,0.010,F7V,1.850,0.100
HIP 3937 A,HIP 3937 A,,GJ 3060 A,2MASS J00503319+2449009 A,1,0,0,0,0,0,0,00h50m33.12s,12.637980,+24d49m00.6s,24.816822,11.85,0.76,-0.67,12.150,0.010,1.630,0.010,M3Vkee,0.010,0.160
HIP 3979,HIP 3979,HD 4915,,2MASS J00511082-0502213,1,0,0,0,0,0,0,00h51m10.69s,12.794560,-05d02m20.4s,-5.038989,21.52,0.22,-0.21,6.960,0.020,0.660,0.010,G5V,0.700,0.060
