# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:45:56 2023
#
# COLUMN tic_id:         TIC ID
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr:      Parallax [mas] Unc
# COLUMN sy_plx_reflink: Parallax [mas] Reference
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr:     V (Johnson) Magnitude Unc
# COLUMN sy_vmag_reflink: V (Johnson) Magnitude Reference
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_bvmagerr:    B-V (Johnson) Color [mag] Unc
# COLUMN sy_bvmag_reflink: B-V (Johnson) Color [mag] Reference
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN sy_rcmag_reflink: R (Cousins) Magnitude Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_spectype_reflink: Spectral Type Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teff_reflink: Stellar Effective Temperature [K] Reference
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_lumerr:      Stellar Luminosity Unc. [log10(Solar)]
# COLUMN st_lum_reflink: Stellar Luminosity [log10(Solar)] Reference
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr:      Stellar Metallicity Unc. [dex]
# COLUMN st_met_reflink: Stellar Metallicity [dex] Reference
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_logg_reflink: Stellar Surface Gravity [log10(cm/s**2)] Reference
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_log_rhk_reflink: Stellar Ca II Chromospheric Activity Index [log R HK] Reference
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
# COLUMN wds_designation: WDS Designation
# COLUMN wds_comp:       WDS Component
# COLUMN wds_sep:        WDS Separation [arcsec]
# COLUMN wds_deltamag:   WDS Delta mag
# COLUMN sy_disks_flag:  Disks Flag
# COLUMN sy_disks_flag_reflink: Disks Flag Reference
# COLUMN sy_planets_flag: Planets Flag
# COLUMN sy_pnum:        Number of Planets
# COLUMN target_group:   Target Group
#
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,ra,dec,sy_plx,sy_plxerr,sy_plx_reflink,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,sy_planets_flag,sy_pnum,target_group
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 441709021"" target=_blank>TIC 441709021</a>",HIP 70497,A,HD 126660 A,HR 5404 A,GJ 549A,tet Boo A,Theta Bootis A,14.5307,216.2991543,51.8507436,68.8200,0.1400,"<a href=""https://ui.adsabs.harvard.edu/abs/2007A&A...474..653V/abstract"" target=_blank>2007A&A...474..653V</a>",4.052,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.497,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",3.760,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F7V,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",6280,16,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.6054,0.0077,"<a href=""https://ui.adsabs.harvard.edu/abs/2017ApJ...836...77Y/abstract"" target=_blank>2017ApJ...836...77Y</a>",1.696,1.086,1.33,-0.030,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.230,0.06,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.361,"<a href=""https://ui.adsabs.harvard.edu/abs/2013A&A...552A..27M/abstract"" target=_blank>2013A&A...552A..27M</a>",2.008,138.18,2.87e-11,30.12,901.1,5.51,0.312,14252+5151,A,70.20,7.36,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2020AJ....159..177E/abstract"" target=_blank>2020AJ....159..177E</a>",N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 157966796"" target=_blank>TIC 157966796</a>",HIP 71284,,HD 128167,HR 5447,GJ 557,sig Boo,Sigma Bootis,15.7560,218.6700724,29.7451271,63.4679,0.1173,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.465,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.364,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.230,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F4VkF2mF1,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",6745,73,"<a href=""https://ui.adsabs.harvard.edu/abs/2013ApJ...764...78R/abstract"" target=_blank>2013ApJ...764...78R</a>",0.5027,0.0179,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.306,0.771,1.39,-0.410,0.070,"<a href=""https://ui.adsabs.harvard.edu/abs/2013ApJ...764...78R/abstract"" target=_blank>2013ApJ...764...78R</a>",4.260,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2013ApJ...764...78R/abstract"" target=_blank>2013ApJ...764...78R</a>",-4.507,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",1.784,113.21,3.64e-11,30.33,738.1,5.72,0.245,14347+2945,A,214.50,6.16,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2016A&A...593A..51M/abstract"" target=_blank>2016A&A...593A..51M</a>",N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 471011144"" target=_blank>TIC 471011144</a>",HIP 71681,,HD 128621,HR 5460,GJ 559B,alf Cen B,Toliman,1.3319,219.8960963,-60.8375276,750.8100,0.3800,"<a href=""https://ui.adsabs.harvard.edu/abs/2021AJ....162...14A/abstract"" target=_blank>2021AJ....162...14A</a>",1.350,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.868,0.022,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",0.866,"<a href=""https://ui.adsabs.harvard.edu/abs/1990A&AS...83..357B/abstract"" target=_blank>1990A&AS...83..357B</a>",K1V,"<a href=""https://ui.adsabs.harvard.edu/abs/1975MSS...C01....0H/abstract"" target=_blank>1975MSS...C01....0H</a>",5244,13,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.2984,0.0060,"<a href=""https://ui.adsabs.harvard.edu/abs/2017A&A...597A.137K/abstract"" target=_blank>2017A&A...597A.137K</a>",0.859,6.000,0.94,0.240,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.540,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.960,"<a href=""https://ui.adsabs.harvard.edu/abs/2021A&A...646A..77G/abstract"" target=_blank>2021A&A...646A..77G</a>",0.709,532.49,2.30e-10,24.96,225.3,11.04,1.706,14396-6050,B,5.30,-1.34,N,,Y,1,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 471011145"" target=_blank>TIC 471011145</a>",HIP 71683,,HD 128620,HR 5459,GJ 559A,alf Cen A,Rigil Kentaurus,1.3319,219.9020583,-60.8339927,750.8100,0.3800,"<a href=""https://ui.adsabs.harvard.edu/abs/2021AJ....162...14A/abstract"" target=_blank>2021AJ....162...14A</a>",0.002,0.008,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",0.653,0.023,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",-0.352,"<a href=""https://ui.adsabs.harvard.edu/abs/1990A&AS...83..357B/abstract"" target=_blank>1990A&AS...83..357B</a>",G2V,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",5776,16,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.1821,0.0043,"<a href=""https://ui.adsabs.harvard.edu/abs/2017A&A...597A.137K/abstract"" target=_blank>2017A&A...597A.137K</a>",1.231,8.600,1.11,0.200,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.300,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.084,"<a href=""https://ui.adsabs.harvard.edu/abs/2021A&A...646A..77G/abstract"" target=_blank>2021A&A...646A..77G</a>",1.233,925.96,7.61e-11,24.94,475.8,7.71,2.516,14396-6050,A,5.30,1.34,N,,N,0,B
TIC 1101124559,HIP 72659,B,HD 131156 B,HR 5544 B,GJ 566B,xi Boo B,Xi Bootis B,6.7486,222.8460153,19.1019133,148.1793,0.0546,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.979,0.037,"<a href=""https://ui.adsabs.harvard.edu/abs/1997A&AS..124..349M/abstract"" target=_blank>1997A&AS..124..349M</a>",1.164,0.021,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",6.167,estimated,K5V,"<a href=""https://ui.adsabs.harvard.edu/abs/1981ApJS...45..437A1/abstract"" target=_blank>1981ApJS...45..437A1</a>",4288,127,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",-0.8882,0.0274,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.652,0.898,0.67,0.144,0.012,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.636,0.10,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",-4.424,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",0.360,53.30,8.95e-10,28.79,96.3,18.33,0.239,14514+1906,B,5.20,-2.19,N,,N,0,C
TIC 1101124558,HIP 72659,A,HD 131156 A,HR 5544 A,GJ 566A,xi Boo A,Xi Bootis A,6.7536,222.8474519,19.1004499,148.0695,0.1317,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.540,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.720,0.015,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.251,estimated,G8-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5487,19,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.2572,0.0112,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.823,1.133,0.96,-0.140,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.540,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.363,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",0.744,110.12,2.09e-10,28.45,239.1,10.65,0.345,14514+1906,A,5.20,2.19,N,,N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 287157634"" target=_blank>TIC 287157634</a>",HIP 73184,,HD 131977,HR 5568 A,GJ 570A,KX Lib,GJ 570A,5.8864,224.3666700,-21.4154798,169.8843,0.0653,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.724,0.001,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",1.108,0.008,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.935,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",K4V,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",4632,15,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.6526,0.0200,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.732,1.157,0.72,0.020,0.040,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.490,0.08,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.484,"<a href=""https://ui.adsabs.harvard.edu/abs/1996AJ....111..439H/abstract"" target=_blank>1996AJ....111..439H</a>",0.472,80.14,5.20e-10,28.14,139.5,15.44,0.334,14575-2125,A,26.20,2.30,N,,N,0,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 229902025"" target=_blank>TIC 229902025</a>",HIP 73996,,HD 134083,HR 5634,GJ 578,45 Boo,45 Bootis,19.5360,226.8252747,24.8691943,51.1875,0.0879,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.940,0.011,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.429,0.006,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.664,estimated,F5V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",6435,44,"<a href=""https://ui.adsabs.harvard.edu/abs/2005ApJS..159..141V/abstract"" target=_blank>2005ApJS..159..141V</a>",0.5125,0.0174,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.451,0.691,1.33,-0.020,0.030,"<a href=""https://ui.adsabs.harvard.edu/abs/2005ApJS..159..141V/abstract"" target=_blank>2005ApJS..159..141V</a>",4.190,0.06,"<a href=""https://ui.adsabs.harvard.edu/abs/2005ApJS..159..141V/abstract"" target=_blank>2005ApJS..159..141V</a>",-4.535,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",1.804,92.35,3.56e-11,30.79,767.5,5.81,0.209,15073+2452,A,103.40,6.56,N,,N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 136916387"" target=_blank>TIC 136916387</a>",HIP 75181,,HD 136352,HR 5699,GJ 582,nu2 Lup,Nu2 Lupi,14.7391,230.4506246,-48.3176305,67.8467,0.0601,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.655,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.639,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.285,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G2.5V Hdel1,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",5685,17,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.0124,0.0110,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.046,0.660,1.02,-0.340,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.370,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.932,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",1.014,68.82,1.12e-10,30.16,369.5,8.85,0.203,,,,,N,,Y,3,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 459427073"" target=_blank>TIC 459427073</a>",HIP 77052,A,HD 140538 A,HR 5853 A,GJ 9527A,psi Ser A,Psi Serpentis A,14.7927,236.0075774,2.5151668,67.6007,0.0360,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.869,0.001,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.684,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.490,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G5V,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",5682,12,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.0788,0.0105,"<a href=""https://ui.adsabs.harvard.edu/abs/2013ApJ...771...40B/abstract"" target=_blank>2013ApJ...771...40B</a>",0.942,0.592,0.94,0.050,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.470,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.740,"<a href=""https://ui.adsabs.harvard.edu/abs/2018ApJ...855...75R/abstract"" target=_blank>2018ApJ...855...75R</a>",0.913,61.74,1.39e-10,30.13,328.8,9.71,0.197,15440+0231,A,4.60,6.05,N,,N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 296740796"" target=_blank>TIC 296740796</a>",HIP 77257,,HD 141004,HR 5868,GJ 598,lam Ser,Lambda Serpentis,11.9159,236.6108925,7.3530687,83.9214,0.1501,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.422,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.603,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.075,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G0-V(k),"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",5898,10,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.3018,0.0128,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.356,1.058,1.09,-0.010,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.180,0.02,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",1.415,118.79,5.78e-11,29.67,589.2,7.25,0.327,,,,,N,,Y,1,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 179348425"" target=_blank>TIC 179348425</a>",HIP 77358,A,HD 140901 A,HR 5864 A,GJ 599A,,HD 140901 A,15.2465,236.8712542,-37.9163119,65.5889,0.0342,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.012,0.000,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.718,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",5.612,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G7IV-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",5602,14,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.0878,0.0106,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.959,0.585,0.96,0.100,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.470,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.783,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",0.904,59.28,1.42e-10,30.23,320.3,9.66,0.185,15475-3755,A,15.20,7.21,N,,Y,2,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 157364190"" target=_blank>TIC 157364190</a>",HIP 77760,,HD 142373,HR 5914,GJ 602,chi Her,Chi Herculis,15.8975,238.1689210,42.4515175,62.9028,0.0807,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.608,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.559,0.012,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.200,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G0V Fe+0.4,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5820,30,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.4964,0.0116,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.742,1.019,1.08,-0.470,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.060,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.042,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",1.771,111.39,3.69e-11,30.28,828.3,6.51,0.310,,,,,N,,N,0,A
