# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 14:48:23 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_name like '%kepler-11%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN hd_name:        HD ID
# COLUMN hip_name:       HIP ID
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-1102 b,Kepler-1102,b,,,TIC 47976987,Gaia DR2 2119646801021958272,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,51.32856230,0.273100,2.660,0.237,7.56000,0.02380,M-R relationship,0.000000,22.98,546,0,0.02562,,5724.00,0.94,0.96,-0.080,[Fe/H],0.139,4.48,4.370,0.31768,,,,18h45m17.42s,281.3225917,+48d03m59.38s,48.0664955,1246.0500000,14.9280000,13.3810000,14.9224000
Kepler-1103 b,Kepler-1103,b,,,TIC 399951202,Gaia DR2 2132808608042844160,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,19.79191978,0.147300,2.270,0.203,5.77000,0.01820,M-R relationship,0.000000,160.28,736,0,0.01811,,6092.00,1.15,1.11,-0.010,[Fe/H],0.522,4.36,3.310,5.24102,,,,19h09m31.71s,287.3821348,+49d27m08.73s,49.4524247,1331.9200000,14.2940000,12.7310000,14.0732000
Kepler-1104 b,Kepler-1104,b,,,TIC 27186509,Gaia DR2 2135002576119495936,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,5.03728015,0.062800,1.230,0.110,2.04000,0.00642,M-R relationship,0.000000,813.52,1321,0,0.00819,,6417.00,1.41,1.30,0.130,[Fe/H],0.514,4.25,2.040,0.61522,,,-31.18,19h37m52.44s,294.4685197,+49d19m51.52s,49.3309789,530.6580000,12.1250000,10.9710000,12.0831000
Kepler-1105 b,Kepler-1105,b,,,TIC 123231917,Gaia DR2 2116733198288204288,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,4.42157218,0.047100,2.010,0.179,4.70000,0.01480,M-R relationship,0.000000,47.18,729,0,0.02680,,4299.00,0.68,0.71,0.280,[Fe/H],-0.945,4.62,8.710,0.66228,,,,18h44m26.82s,281.1117588,+42d27m17.89s,42.4549698,318.0040000,15.3150000,12.3710000,15.1422000
Kepler-1106 b,Kepler-1106,b,,,TIC 159649503,Gaia DR2 2126198756455621376,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,1.25275217,0.023900,1.650,0.147,3.36000,0.01060,M-R relationship,0.000000,2399.97,2199,0,0.01337,,6104.00,1.17,1.11,0.000,[Fe/H],0.159,4.35,3.090,0.89491,,,,19h24m34.84s,291.1451576,+44d03m44.90s,44.0624715,1090.7000000,14.8630000,13.2340000,14.6276000
Kepler-1107 b,Kepler-1107,b,,,TIC 122716169,Gaia DR2 2052965337812644352,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,0.57103852,0.012600,1.340,0.120,2.36000,0.00742,M-R relationship,0.000000,2387.26,1897,0,0.01458,,5268.00,0.82,0.86,0.010,[Fe/H],-0.417,4.55,4.470,4.56279,,,,19h24m11.98s,291.0499340,+39d08m30.03s,39.1416740,428.7980000,14.3150000,12.1520000,14.1282000
Kepler-1108 b,Kepler-1108,b,,,TIC 272083644,Gaia DR2 2080390353264322944,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,4.51005748,0.051100,1.460,0.130,2.73000,0.00859,M-R relationship,0.000000,206.41,1063,0,0.01582,,5406.00,0.84,0.88,-0.090,[Fe/H],-0.258,4.54,4.170,3.82916,,,,19h44m10.15s,296.0422962,+45d59m06.50s,45.9851400,767.7010000,15.1320000,13.1720000,14.9192000
Kepler-1109 b,Kepler-1109,b,,,TIC 137336979,Gaia DR2 2052983514114840192,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,37.64673840,0.246600,2.190,0.195,5.43000,0.01710,M-R relationship,0.000000,11.38,787,0,0.01912,,5893.00,1.06,1.05,0.040,[Fe/H],-0.076,4.41,3.800,1.31457,,,,19h26m35.10s,291.6462654,+39d23m47.80s,39.3966122,685.0870000,14.4050000,12.7070000,14.2665000
Kepler-111 b,Kepler-111,b,,,TIC 63001143,Gaia DR2 2126569051355142656,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,3.34181500,0.046000,1.580,0.141,3.12000,0.00982,M-R relationship,0.000000,677.50,1356,1,0.01179,,5952.00,1.16,1.17,0.280,[M/H],0.195,4.38,2.300,0.88106,,,,19h26m36.76s,291.6531630,+44d41m17.74s,44.6882613,657.2230000,13.5430000,12.1100000,13.4192000
Kepler-111 c,Kepler-111,c,,,TIC 63001143,Gaia DR2 2126569051355142656,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,224.78460800,0.761000,7.300,0.651,42.00000,0.13200,M-R relationship,0.000000,2.48,333,1,0.06010,,5952.00,1.16,1.17,0.280,[M/H],0.195,4.38,2.300,0.43200,,,,19h26m36.76s,291.6531630,+44d41m17.74s,44.6882613,657.2230000,13.5430000,12.1100000,13.4192000
Kepler-1110 b,Kepler-1110,b,,,TIC 351060274,Gaia DR2 2052691044021500032,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,9.69312032,0.075400,2.660,0.237,7.56000,0.02380,M-R relationship,0.000000,43.14,609,0,0.03470,,4781.00,0.70,0.73,-0.160,[Fe/H],-0.637,4.62,4.790,2.74996,,,,19h27m13.94s,291.8080645,+38d37m21.58s,38.6226615,726.8280000,16.2740000,13.6040000,15.8872000
Kepler-1111 b,Kepler-1111,b,,,TIC 271663670,Gaia DR2 2080016106994504704,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,8.79617863,0.087200,2.000,0.178,4.66000,0.01470,M-R relationship,0.000000,118.52,938,0,0.01639,,6077.00,1.15,1.10,0.020,[Fe/H],-0.090,4.36,3.160,1.97461,,,,19h41m51.22s,295.4634045,+45d48m45.97s,45.8127697,841.5360000,14.8800000,13.2440000,14.7155000
Kepler-1112 b,Kepler-1112,b,,,TIC 272841734,Gaia DR2 2086586273085111808,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,14.36267939,0.123900,3.020,0.269,9.38000,0.02950,M-R relationship,0.000000,254.96,918,0,0.01811,,6496.00,1.54,1.34,0.040,[Fe/H],0.542,4.19,2.090,1.11353,,,,19h47m52.51s,296.9687937,+47d45m05.33s,47.7514799,1671.2800000,14.7400000,13.3970000,14.5611000
Kepler-1113 b,Kepler-1113,b,,,TIC 122062725,Gaia DR2 2101006883479557504,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,42.30049540,0.241500,2.810,0.251,8.30000,0.02610,M-R relationship,0.000000,22.85,558,0,0.02177,,5931.00,1.17,1.12,0.180,[Fe/H],0.080,4.35,3.550,4.29644,,,,19h17m37.61s,289.4066969,+39d20m19.73s,39.3388130,1073.8800000,14.9430000,13.1910000,14.7828000
Kepler-1114 b,Kepler-1114,b,,,TIC 268612417,Gaia DR2 2085258750237006208,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,14.97435694,0.110200,1.350,0.120,2.39000,0.00752,M-R relationship,0.000000,39.32,631,0,0.01495,,5374.00,0.83,0.87,-0.080,[Fe/H],-0.293,4.55,4.270,8.90485,,,,19h56m56.89s,299.2370531,+45d50m05.20s,45.8347781,418.4170000,13.9350000,11.9440000,13.7579000
Kepler-1115 b,Kepler-1115,b,,,TIC 138960099,Gaia DR2 2076483616656410496,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,23.55407250,0.213400,1.700,0.152,3.53000,0.01110,M-R relationship,0.000000,516.10,1381,0,0.00869,,8480.00,1.73,1.60,-0.510,[Fe/H],1.254,4.17,1.120,0.53077,200.0000,0.58,,19h39m58.03s,294.9917723,+40d08m39.83s,40.1443964,983.2450000,11.9830000,11.5120000,11.8822000
Kepler-1116 b,Kepler-1116,b,,,TIC 63076026,Gaia DR2 2126166733179219072,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,41.69778270,0.233000,2.540,0.227,6.99000,0.02200,M-R relationship,0.000000,15.79,488,0,0.02491,,5641.00,0.93,0.95,0.010,[Fe/H],-0.147,4.48,4.900,2.25165,,,,19h27m44.08s,291.9336573,+44d06m55.80s,44.1154992,1008.5700000,15.4240000,13.4820000,15.2352000
Kepler-1117 b,Kepler-1117,b,,,TIC 26583640,Gaia DR2 2129755573491351040,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,4.79028459,0.054600,1.110,0.099,1.41000,0.00444,M-R relationship,0.000000,194.98,938,0,0.01115,,5612.00,0.93,0.95,0.030,[Fe/H],-0.224,4.49,4.270,1.98241,,,,19h28m20.35s,292.0847866,+49d14m14.71s,49.2374206,568.4870000,14.1500000,12.4630000,14.1237000
Kepler-1118 b,Kepler-1118,b,,,TIC 239238425,Gaia DR2 2076102635879020928,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,38.67150750,0.207900,2.740,0.244,7.95000,0.02500,M-R relationship,0.000000,20.01,502,0,0.02563,,5688.00,0.97,0.96,0.000,[Fe/H],-0.060,4.46,4.070,0.58519,,,,19h59m51.76s,299.9656619,+44d09m39.17s,44.1608805,888.3250000,15.2380000,13.0400000,14.9560000
Kepler-1119 b,Kepler-1119,b,,,TIC 272940104,Gaia DR2 2078920821617340416,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,8.32651530,0.081200,1.920,0.171,4.35000,0.01370,M-R relationship,0.000000,182.69,938,0,0.01541,,6083.00,1.17,1.11,0.030,[Fe/H],0.486,4.35,3.090,0.45899,,,,19h48m04.58s,297.0191018,+44d19m38.98s,44.3274936,1757.2300000,15.2960000,13.4560000,15.0671000
Kepler-112 b,Kepler-112,b,,,TIC 272943597,Gaia DR2 2078722600285671936,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,8.40887800,0.076000,2.360,0.211,6.17000,0.01940,M-R relationship,0.000000,123.82,809,0,0.02603,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,1.75510,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,13.9270000,12.1550000,13.7662000
Kepler-112 c,Kepler-112,c,,,TIC 272943597,Gaia DR2 2078722600285671936,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,28.57426300,0.172000,2.400,0.214,6.35000,0.02000,M-R relationship,0.000000,24.25,538,0,0.02682,,5544.00,0.84,0.78,-0.522,[M/H],-0.086,4.51,9.400,2.14286,,,,19h47m55.47s,296.9811361,+43d12m34.93s,43.2097025,513.2060000,13.9270000,12.1550000,13.7662000
Kepler-1120 b,Kepler-1120,b,,,TIC 159573412,Gaia DR2 2101941434002832000,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,2.94902905,0.036900,1.380,0.123,2.48000,0.00780,M-R relationship,0.000000,206.87,1027,0,0.01716,,4904.00,0.74,0.78,-0.040,[Fe/H],-0.588,4.60,4.680,3.06505,,,,19h23m39.47s,290.9144516,+42d17m11.59s,42.2865522,615.2310000,15.4940000,13.1700000,15.3045000
Kepler-1121 b,Kepler-1121,b,,,TIC 28230581,Gaia DR2 2086505630781210752,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,13.15141081,0.118700,1.910,0.170,4.31000,0.01360,M-R relationship,0.000000,205.27,1008,0,0.01078,,6231.00,1.59,1.29,0.120,[Fe/H],0.475,4.14,3.020,0.45721,,,-33.94,19h51m08.77s,297.7865467,+47d53m10.16s,47.8861542,482.0470000,12.1440000,10.7950000,12.0170000
Kepler-1122 b,Kepler-1122,b,,,TIC 158664692,Gaia DR2 2130383394629702400,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,42.19173570,0.231500,2.040,0.182,4.82000,0.01520,M-R relationship,0.000000,23.26,526,0,0.02143,,5544.00,0.89,0.92,-0.030,[Fe/H],0.059,4.51,4.680,0.96661,,,,19h13m07.34s,288.2805801,+46d20m27.15s,46.3408747,1230.4200000,15.4050000,13.3690000,15.1025000
Kepler-1123 b,Kepler-1123,b,,,TIC 27188610,Gaia DR2 2135239112857020032,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,4.33946454,0.049700,1.670,0.149,3.43000,0.01080,M-R relationship,0.000000,190.02,1061,0,0.01732,,5500.00,0.90,0.93,0.050,[Fe/H],-0.295,4.50,5.130,3.18576,,,,19h38m04.25s,294.5177291,+50d40m13.41s,50.6703927,704.3230000,14.9330000,13.1050000,14.8069000
Kepler-1124 b,Kepler-1124,b,,,TIC 120963454,Gaia DR2 2099183583961614208,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,2.85234897,0.030500,1.280,0.114,2.18000,0.00687,M-R relationship,0.000000,50.78,621,0,0.03537,,3658.00,0.34,0.35,-0.590,[Fe/H],-1.323,4.93,3.390,5.16342,,,,19h06m22.62s,286.5942529,+37d53m28.62s,37.8912836,289.8990000,16.7450000,12.8260000,15.9678000
Kepler-1125 b,Kepler-1125,b,,,TIC 184009076,Gaia DR2 2076598687419100800,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,17.67006420,0.134800,1.840,0.164,4.04000,0.01270,M-R relationship,0.000000,41.04,778,0,0.01767,,5683.00,0.94,0.95,-0.090,[Fe/H],0.647,4.47,4.170,0.80228,,,,19h41m55.49s,295.4812018,+40d43m54.95s,40.7319316,2011.4100000,15.0420000,13.2430000,14.8766000
Kepler-1126 b,Kepler-1126,b,,,TIC 352013661,Gaia DR2 2106496607595412480,1,2,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,108.59332900,0.412600,1.730,0.154,3.64000,0.01150,M-R relationship,0.000000,4.55,374,1,0.01719,,5798.00,0.93,0.92,-0.260,[Fe/H],-0.099,4.46,5.500,1.88819,,,,19h02m46.07s,285.6919550,+45d41m21.84s,45.6893993,635.7360000,14.2210000,12.5340000,14.0207000
Kepler-1126 c,Kepler-1126,c,,,TIC 352013661,Gaia DR2 2106496607595412480,1,2,0,Transit,2023,Kepler,0.95 m Kepler Telescope,0,199.66876000,0.619300,1.450,0.150,2.70000,0.00849,M-R relationship,0.000000,2.06,305,0,0.01444,,5678.00,0.92,0.79,-0.400,[Fe/H],-0.099,4.41,0.300,2.40750,,,,19h02m46.07s,285.6919550,+45d41m21.84s,45.6893993,635.7360000,14.2210000,12.5340000,14.0207000
Kepler-1127 b,Kepler-1127,b,,,TIC 275569511,Gaia DR2 2077805263989929728,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,5.12330347,0.055600,1.960,0.175,4.50000,0.01420,M-R relationship,0.000000,160.76,994,0,0.01901,,5664.00,0.95,0.97,0.040,[Fe/H],-0.259,4.47,4.370,1.89424,,,,19h32m52.17s,293.2173563,+42d43m14.10s,42.7205846,842.4590000,15.1620000,13.4630000,15.1325000
Kepler-1128 b,Kepler-1128,b,,,TIC 137972889,Gaia DR2 2053124285963894784,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,61.61781670,0.302000,3.650,0.326,12.90000,0.04070,M-R relationship,0.000000,6.45,424,0,0.03658,,5543.00,0.91,0.94,0.040,[Fe/H],-0.196,4.50,4.570,10.19029,,,,19h32m15.20s,293.0633150,+39d24m12.26s,39.4034052,1083.4100000,15.9340000,13.8960000,15.6861000
Kepler-1129 b,Kepler-1129,b,,,TIC 137212833,Gaia DR2 2101651781408908160,1,2,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,24.33978040,0.164400,2.960,0.264,9.06000,0.02850,M-R relationship,0.000000,32.27,737,0,0.02661,,5831.00,1.00,1.00,-0.040,[Fe/H],-0.027,4.44,4.070,3.86037,,,,19h26m25.08s,291.6044965,+41d18m33.58s,41.3093275,1183.8800000,15.6610000,13.7830000,15.2572000
Kepler-1129 c,Kepler-1129,c,,,TIC 137212833,Gaia DR2 2101651781408908160,1,2,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,76.53695860,0.352800,2.730,0.244,7.90000,0.02490,M-R relationship,0.000000,7.01,503,1,0.02456,,5831.00,1.00,1.00,-0.040,[Fe/H],-0.027,4.44,4.070,3.74105,,,,19h26m25.08s,291.6044965,+41d18m33.58s,41.3093275,1183.8800000,15.6610000,13.7830000,15.2572000
Kepler-113 b,Kepler-113,b,,,TIC 298834019,Gaia DR2 2133369840008452224,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,4.75400000,0.050200,1.820,0.162,11.70000,0.03700,Mass,0.000000,105.33,775,0,0.02419,,4725.00,0.69,0.75,0.050,[Fe/H],-0.576,4.64,6.890,2.71000,0.4000,,,19h11m59.49s,287.9978721,+50d56m39.06s,50.9441847,262.3510000,13.6550000,11.2550000,13.4598000
