# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 15 22:56:14 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,Mass,0.030000,,,0,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,Mass,0.130000,,,0,,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,0.050000,2657.83,1958,0,3.520000,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,Mass,0.080000,,,0,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],-0.197,4.43,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,934.30000000,2.110000,13.400,1.190,638.83830,2.01000,Msini,0.073000,,,0,,K0 IV,4938.00,5.20,1.44,-0.130,[Fe/H],1.176,3.19,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,5.8730700,3.7010000,5.6068600
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,0.120000,,,0,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,0.140000,,,0,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.350000,,,0,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),0.060000,,,0,,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,3.9500000,1.5640000,3.6785300
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.080000,,,0,,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,3.9500000,1.5640000,3.6785300
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,0.398800,,,0,,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],0.451,3.95,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,4.9680800,3.5000000,4.7617800
75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,691.90000000,2.100000,13.100,1.170,953.49000,3.00000,Msini,0.117000,,,0,,G3 III,4846.00,10.50,2.49,0.000,[Fe/H],1.730,2.63,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,5.3532000,3.2070000,5.0934300
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.060000,,,0,,K0,4847.00,10.30,1.44,-0.030,[Fe/H],1.725,2.57,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,6.8329500,4.5150000,6.5589600
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,952.70000000,2.500000,12.800,1.140,1684.40000,5.30000,Msini,0.206000,,,0,,G5 III,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,5.6430700,3.2660000,5.3758800
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,Msini,0.027000,,,0,,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],1.692,2.52,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,4.2394600,1.5970000,3.9531100
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,,93.900000,12.500,1.120,2860.45566,9.00000,Mass,0.400000,,,0,,,9770.00,2.96,2.40,,,1.771,3.77,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,7.0760000,4.2300000,7.0785400
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,260.000000,12.300,1.100,4290.50000,13.50000,Mass,,,,0,,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],-0.226,4.53,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,9.1300000,6.9810000,8.8378000
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,8030.00000000,8.400000,13.100,1.170,1017.05090,3.20000,Mass,0.240000,,1400,0,,F8 V,6130.00,1.25,1.20,0.190,[Fe/H],0.290,4.40,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,6.3320000,4.9260000,6.1864400
AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46299910,0.064500,4.070,0.363,20.12000,0.06330,Mass,0.186000,76.64,593,1,19.100000,M1,3588.00,0.70,0.50,,,-1.046,4.39,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85899100,0.110100,3.240,0.289,9.60000,0.03020,Mass,0.041000,,454,0,31.700000,M1,3700.00,0.75,0.50,,,-1.046,4.39,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,0.200000,,,0,8.640000,,4095.00,32.35,1.14,-0.710,[Fe/H],2.700,1.89,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,9.5770000,6.0210000,8.9977000
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.290000,,,0,,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],-0.320,4.26,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,9.7800000,7.3360000,9.3510800
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.001000,,,0,,G5,4649.00,8.95,1.08,-0.220,[Fe/H],1.570,2.61,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,10.4100000,7.7180000,9.9918000
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.260000,,,0,,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.010,2.80,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,9.0100000,6.5250000,8.7178000
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,379.63000000,1.450000,12.100,1.080,6807.63000,21.42000,Msini,0.150000,,,0,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,9.7430000,6.4200000,9.2268400
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,0.180000,,,0,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],3.170,1.51,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,9.7430000,6.4200000,9.2268400
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,0.210000,,,0,,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.960,1.99,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,9.3670000,6.1690000,8.9161300
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,0.000000,,546,0,55.800000,G,5766.00,1.08,1.67,-0.150,[Fe/H],-0.056,4.50,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,10.8490000,9.3680000,10.8644000
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,Msini,0.120000,,,0,,K1,5004.00,0.81,0.81,-0.090,[Fe/H],-0.399,4.22,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,9.6700000,7.5570000,9.4126600
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,Msini,0.200000,,,0,,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],1.690,2.24,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,9.1390000,5.9040000,8.6556900
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,Msini,0.760000,,,0,,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],1.640,2.48,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,8.6900000,5.6450000,8.2644900
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,Msini,0.350000,,,0,,K0,4943.00,7.60,1.52,-0.190,[Fe/H],1.470,2.85,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,9.3810000,6.5710000,9.0285100
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,Msini,0.270000,,,0,,K3,5012.00,0.90,0.91,0.180,[Fe/H],-0.313,4.09,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,9.3800000,7.3310000,9.1530500
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,,,1303,0,,K0,4993.00,0.80,1.00,,,0.356,4.55,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,9.3740000,7.2880000,9.1743900
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,1198.48000000,2.060000,12.400,1.110,3305.41543,10.40000,Mass,0.880000,,,0,,K0,5000.00,0.80,0.82,-0.090,[Fe/H],-0.413,4.20,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,8.9600000,6.7800000,8.7050000
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,723.20000000,1.480000,12.000,1.070,7961.60160,25.05000,Msini,0.390000,,,0,,G0,5040.00,0.84,0.81,-0.140,[Fe/H],-0.350,4.25,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402000,9.0100000,6.9960000,8.7810100
