id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,order,type1,type2,ability1,ability2,ability3
42,golbat,159,16,550,90,75,80,70,65,75,golbat,golbat,True,74,poison,flying,inner-focus,infiltrator,
43,oddish,64,5,54,30,45,50,55,75,65,oddish,oddish,True,76,grass,poison,chlorophyll,run-away,
44,gloom,138,8,86,40,60,65,70,85,75,gloom,gloom,True,77,grass,poison,chlorophyll,stench,
45,vileplume,245,12,186,50,75,80,85,110,90,vileplume,vileplume,True,78,grass,poison,chlorophyll,effect-spore,
46,paras,57,3,54,25,35,70,55,45,55,paras,paras,True,80,bug,grass,effect-spore,dry-skin,damp
47,parasect,142,10,295,30,60,95,80,60,80,parasect,parasect,True,81,bug,grass,effect-spore,dry-skin,damp
48,venonat,61,10,300,45,60,55,50,40,55,venonat,venonat,True,82,bug,poison,compound-eyes,tinted-lens,run-away
49,venomoth,158,15,125,90,70,65,60,90,75,venomoth,venomoth,True,83,bug,poison,shield-dust,tinted-lens,wonder-skin
50,diglett,53,2,8,95,10,55,25,35,45,diglett,diglett,True,84,ground,,sand-veil,arena-trap,sand-force
51,dugtrio,149,7,333,120,35,100,50,50,70,dugtrio,dugtrio,True,86,ground,,sand-veil,arena-trap,sand-force
52,meowth,58,4,42,90,40,45,35,40,40,meowth,meowth,True,88,normal,,pickup,technician,unnerve
53,persian,154,10,320,115,65,70,60,65,65,persian,persian,True,91,normal,,limber,technician,unnerve
54,psyduck,64,8,196,55,50,52,48,65,50,psyduck,psyduck,True,93,water,,damp,cloud-nine,swift-swim
55,golduck,175,17,766,85,80,82,78,95,80,golduck,golduck,True,94,water,,damp,cloud-nine,swift-swim
56,mankey,61,5,280,70,40,80,35,35,45,mankey,mankey,True,95,fighting,,vital-spirit,anger-point,defiant
57,primeape,159,10,320,95,65,105,60,60,70,primeape,primeape,True,96,fighting,,vital-spirit,anger-point,defiant
58,growlithe,70,7,190,60,55,70,45,70,50,growlithe,growlithe,True,97,fire,,intimidate,flash-fire,justified
59,arcanine,194,19,1550,95,90,110,80,100,80,arcanine,arcanine,True,98,fire,,intimidate,flash-fire,justified
60,poliwag,60,6,124,90,40,50,40,40,40,poliwag,poliwag,True,99,water,,water-absorb,damp,swift-swim
61,poliwhirl,135,10,200,90,65,65,65,50,50,poliwhirl,poliwhirl,True,100,water,,water-absorb,damp,swift-swim
62,poliwrath,255,13,540,70,90,95,95,70,90,poliwrath,poliwrath,True,101,water,fighting,water-absorb,damp,swift-swim
63,abra,62,9,195,90,25,20,15,105,55,abra,abra,True,103,psychic,,synchronize,inner-focus,magic-guard
64,kadabra,140,13,565,105,40,35,30,120,70,kadabra,kadabra,True,104,psychic,,synchronize,inner-focus,magic-guard
65,alakazam,250,15,480,120,55,50,45,135,95,alakazam,alakazam,True,105,psychic,,synchronize,inner-focus,magic-guard
66,machop,61,8,195,35,70,80,50,35,35,machop,machop,True,107,fighting,,guts,no-guard,steadfast
67,machoke,142,15,705,45,80,100,70,50,60,machoke,machoke,True,108,fighting,,guts,no-guard,steadfast
68,machamp,253,16,1300,55,90,130,80,65,85,machamp,machamp,True,109,fighting,,guts,no-guard,steadfast
69,bellsprout,60,7,40,40,50,75,35,70,30,bellsprout,bellsprout,True,110,grass,poison,chlorophyll,gluttony,
70,weepinbell,137,10,64,55,65,90,50,85,45,weepinbell,weepinbell,True,111,grass,poison,chlorophyll,gluttony,
71,victreebel,221,17,155,70,80,105,65,100,70,victreebel,victreebel,True,112,grass,poison,chlorophyll,gluttony,
72,tentacool,67,9,455,70,40,40,35,50,100,tentacool,tentacool,True,113,water,poison,clear-body,liquid-ooze,rain-dish
73,tentacruel,180,16,550,100,80,70,65,80,120,tentacruel,tentacruel,True,114,water,poison,clear-body,liquid-ooze,rain-dish
74,geodude,60,4,200,20,40,80,100,30,30,geodude,geodude,True,115,rock,ground,rock-head,sturdy,sand-veil
75,graveler,137,10,1050,35,55,95,115,45,45,graveler,graveler,True,117,rock,ground,rock-head,sturdy,sand-veil
76,golem,223,14,3000,45,80,120,130,55,65,golem,golem,True,119,rock,ground,rock-head,sturdy,sand-veil
77,ponyta,82,10,300,90,50,85,55,65,65,ponyta,ponyta,True,121,fire,,run-away,flash-fire,flame-body
78,rapidash,175,17,950,105,65,100,70,80,80,rapidash,rapidash,True,123,fire,,run-away,flash-fire,flame-body
79,slowpoke,63,12,360,15,90,65,65,40,40,slowpoke,slowpoke,True,125,water,psychic,oblivious,own-tempo,regenerator
80,slowbro,172,16,785,30,95,75,110,100,80,slowbro,slowbro,True,127,water,psychic,oblivious,own-tempo,regenerator
81,magnemite,65,3,60,45,25,35,70,95,55,magnemite,magnemite,True,132,electric,steel,magnet-pull,sturdy,analytic
82,magneton,163,10,600,70,50,60,95,120,70,magneton,magneton,True,133,electric,steel,magnet-pull,sturdy,analytic
83,farfetchd,132,8,150,60,52,90,55,58,62,farfetchd,farfetchd,True,135,normal,flying,keen-eye,inner-focus,defiant
84,doduo,62,14,392,75,35,85,45,35,35,doduo,doduo,True,137,normal,flying,run-away,early-bird,tangled-feet
85,dodrio,165,18,852,110,60,110,70,60,60,dodrio,dodrio,True,138,normal,flying,run-away,early-bird,tangled-feet
86,seel,65,11,900,45,65,45,55,45,70,seel,seel,True,139,water,,thick-fat,hydration,ice-body
87,dewgong,166,17,1200,70,90,70,80,70,95,dewgong,dewgong,True,140,water,ice,thick-fat,hydration,ice-body
88,grimer,65,9,300,25,80,80,50,40,50,grimer,grimer,True,141,poison,,stench,sticky-hold,poison-touch
89,muk,175,12,300,50,105,105,75,65,100,muk,muk,True,143,poison,,stench,sticky-hold,poison-touch
90,shellder,61,3,40,40,30,65,100,45,25,shellder,shellder,True,145,water,,shell-armor,skill-link,overcoat
91,cloyster,184,15,1325,70,50,95,180,85,45,cloyster,cloyster,True,146,water,ice,shell-armor,skill-link,overcoat
92,gastly,62,13,1,80,30,35,30,100,35,gastly,gastly,True,147,ghost,poison,levitate,,
93,haunter,142,16,1,95,45,50,45,115,55,haunter,haunter,True,148,ghost,poison,levitate,,
94,gengar,250,15,405,110,60,65,60,130,75,gengar,gengar,True,149,ghost,poison,cursed-body,,
95,onix,77,88,2100,70,35,45,160,30,45,onix,onix,True,151,rock,ground,rock-head,sturdy,weak-armor
96,drowzee,66,10,324,42,60,48,45,43,90,drowzee,drowzee,True,154,psychic,,insomnia,forewarn,inner-focus
97,hypno,169,16,756,67,85,73,70,73,115,hypno,hypno,True,155,psychic,,insomnia,forewarn,inner-focus
98,krabby,65,4,65,50,30,105,90,25,25,krabby,krabby,True,156,water,,hyper-cutter,shell-armor,sheer-force
99,kingler,166,13,600,75,55,130,115,50,50,kingler,kingler,True,157,water,,hyper-cutter,shell-armor,sheer-force
100,voltorb,66,5,104,100,40,30,50,55,55,voltorb,voltorb,True,158,electric,,soundproof,static,aftermath
101,electrode,172,12,666,150,60,50,70,80,80,electrode,electrode,True,159,electric,,soundproof,static,aftermath
102,exeggcute,65,4,25,40,60,40,80,60,45,exeggcute,exeggcute,True,160,grass,psychic,chlorophyll,harvest,
103,exeggutor,186,20,1200,55,95,95,85,125,75,exeggutor,exeggutor,True,161,grass,psychic,chlorophyll,harvest,
104,cubone,64,4,65,35,50,50,95,40,50,cubone,cubone,True,163,ground,,rock-head,lightning-rod,battle-armor
105,marowak,149,10,450,45,60,80,110,50,80,marowak,marowak,True,164,ground,,rock-head,lightning-rod,battle-armor
106,hitmonlee,159,15,498,87,50,120,53,35,110,hitmonlee,hitmonlee,True,168,fighting,,limber,reckless,unburden
107,hitmonchan,159,14,502,76,50,105,79,35,110,hitmonchan,hitmonchan,True,169,fighting,,keen-eye,iron-fist,inner-focus
108,lickitung,77,12,655,30,90,55,75,60,75,lickitung,lickitung,True,171,normal,,own-tempo,oblivious,cloud-nine
109,koffing,68,6,10,35,40,65,95,60,45,koffing,koffing,True,173,poison,,levitate,neutralizing-gas,stench
110,weezing,172,12,95,60,65,90,120,85,70,weezing,weezing,True,174,poison,,levitate,neutralizing-gas,stench
111,rhyhorn,69,10,1150,25,80,85,95,30,30,rhyhorn,rhyhorn,True,176,ground,rock,lightning-rod,rock-head,reckless
112,rhydon,170,19,1200,40,105,130,120,45,45,rhydon,rhydon,True,177,ground,rock,lightning-rod,rock-head,reckless
113,chansey,395,11,346,50,250,5,5,35,105,chansey,chansey,True,180,normal,,natural-cure,serene-grace,healer
114,tangela,87,10,350,60,65,55,115,100,40,tangela,tangela,True,182,grass,,chlorophyll,leaf-guard,regenerator
115,kangaskhan,172,22,800,90,105,95,80,40,80,kangaskhan,kangaskhan,True,184,normal,,early-bird,scrappy,inner-focus
116,horsea,59,4,80,60,30,40,70,70,25,horsea,horsea,True,186,water,,swift-swim,sniper,damp
117,seadra,154,12,250,85,55,65,95,95,45,seadra,seadra,True,187,water,,poison-point,sniper,damp
118,goldeen,64,6,150,63,45,67,60,35,50,goldeen,goldeen,True,189,water,,swift-swim,water-veil,lightning-rod
119,seaking,158,13,390,68,80,92,65,65,80,seaking,seaking,True,190,water,,swift-swim,water-veil,lightning-rod
120,staryu,68,8,345,85,30,45,55,70,55,staryu,staryu,True,191,water,,illuminate,natural-cure,analytic
121,starmie,182,11,800,115,60,75,85,100,85,starmie,starmie,True,192,water,psychic,illuminate,natural-cure,analytic
122,mr-mime,161,13,545,90,40,45,65,100,120,mr-mime,mr-mime,True,194,psychic,fairy,soundproof,filter,technician
123,scyther,100,15,560,105,70,110,80,55,80,scyther,scyther,True,196,bug,flying,swarm,technician,steadfast
124,jynx,159,14,406,95,65,50,35,115,95,jynx,jynx,True,200,ice,psychic,oblivious,forewarn,dry-skin
125,electabuzz,172,11,300,105,65,83,57,95,85,electabuzz,electabuzz,True,202,electric,,static,vital-spirit,
126,magmar,173,13,445,93,65,95,57,100,85,magmar,magmar,True,205,fire,,flame-body,vital-spirit,
127,pinsir,175,15,550,85,65,125,100,55,70,pinsir,pinsir,True,207,bug,,hyper-cutter,mold-breaker,moxie
128,tauros,172,14,884,110,75,100,95,40,70,tauros,tauros,True,209,normal,,intimidate,anger-point,sheer-force
129,magikarp,40,9,100,80,20,10,55,15,20,magikarp,magikarp,True,210,water,,swift-swim,rattled,
130,gyarados,189,65,2350,81,95,125,79,60,100,gyarados,gyarados,True,211,water,flying,intimidate,moxie,
131,lapras,187,25,2200,60,130,85,80,85,95,lapras,lapras,True,213,water,ice,water-absorb,shell-armor,hydration
132,ditto,101,3,40,48,48,48,48,48,48,ditto,ditto,True,214,normal,,limber,imposter,
133,eevee,65,3,65,55,55,55,50,45,65,eevee,eevee,True,215,normal,,run-away,adaptability,anticipation
134,vaporeon,184,10,290,65,130,65,60,110,95,vaporeon,vaporeon,True,217,water,,water-absorb,hydration,
135,jolteon,184,8,245,130,65,65,60,110,95,jolteon,jolteon,True,218,electric,,volt-absorb,quick-feet,
136,flareon,184,9,250,65,65,130,60,95,110,flareon,flareon,True,219,fire,,flash-fire,guts,
137,porygon,79,8,365,40,65,60,70,85,75,porygon,porygon,True,225,normal,,trace,download,analytic
138,omanyte,71,4,75,35,35,40,100,90,55,omanyte,omanyte,True,228,rock,water,swift-swim,shell-armor,weak-armor
139,omastar,173,10,350,55,70,60,125,115,70,omastar,omastar,True,229,rock,water,swift-swim,shell-armor,weak-armor
140,kabuto,71,5,115,55,30,80,90,55,45,kabuto,kabuto,True,230,rock,water,swift-swim,battle-armor,weak-armor
141,kabutops,173,13,405,80,60,115,105,65,70,kabutops,kabutops,True,231,rock,water,swift-swim,battle-armor,weak-armor
142,aerodactyl,180,18,590,130,80,105,65,60,75,aerodactyl,aerodactyl,True,232,rock,flying,rock-head,pressure,unnerve
143,snorlax,189,21,4600,30,160,110,65,65,110,snorlax,snorlax,True,235,normal,,immunity,thick-fat,gluttony
144,articuno,290,17,554,85,90,85,100,95,125,articuno,articuno,True,236,ice,flying,pressure,snow-cloak,
145,zapdos,290,16,526,100,90,90,85,125,90,zapdos,zapdos,True,238,electric,flying,pressure,static,
146,moltres,290,20,600,90,90,100,90,125,85,moltres,moltres,True,240,fire,flying,pressure,flame-body,
147,dratini,60,18,33,50,41,64,45,50,50,dratini,dratini,True,242,dragon,,shed-skin,marvel-scale,
148,dragonair,147,40,165,70,61,84,65,70,70,dragonair,dragonair,True,243,dragon,,shed-skin,marvel-scale,
149,dragonite,300,22,2100,80,91,134,95,100,100,dragonite,dragonite,True,244,dragon,flying,inner-focus,multiscale,
150,mewtwo,340,20,1220,130,106,110,90,154,90,mewtwo,mewtwo,True,245,psychic,,pressure,unnerve,
151,mew,300,4,40,100,100,100,100,100,100,mew,mew,True,248,psychic,,synchronize,,
152,chikorita,64,9,64,45,45,49,65,49,65,chikorita,chikorita,True,249,grass,,overgrow,leaf-guard,
153,bayleef,142,12,158,60,60,62,80,63,80,bayleef,bayleef,True,250,grass,,overgrow,leaf-guard,
154,meganium,236,18,1005,80,80,82,100,83,100,meganium,meganium,True,251,grass,,overgrow,leaf-guard,
155,cyndaquil,62,5,79,65,39,52,43,60,50,cyndaquil,cyndaquil,True,252,fire,,blaze,flash-fire,
156,quilava,142,9,190,80,58,64,58,80,65,quilava,quilava,True,253,fire,,blaze,flash-fire,
157,typhlosion,240,17,795,100,78,84,78,109,85,typhlosion,typhlosion,True,254,fire,,blaze,flash-fire,
158,totodile,63,6,95,43,50,65,64,44,48,totodile,totodile,True,255,water,,torrent,sheer-force,
159,croconaw,142,11,250,58,65,80,80,59,63,croconaw,croconaw,True,256,water,,torrent,sheer-force,
160,feraligatr,239,23,888,78,85,105,100,79,83,feraligatr,feraligatr,True,257,water,,torrent,sheer-force,
161,sentret,43,8,60,20,35,46,34,35,45,sentret,sentret,True,258,normal,,run-away,keen-eye,frisk
162,furret,145,18,325,90,85,76,64,45,55,furret,furret,True,259,normal,,run-away,keen-eye,frisk
163,hoothoot,52,7,212,50,60,30,30,36,56,hoothoot,hoothoot,True,260,normal,flying,insomnia,keen-eye,tinted-lens
164,noctowl,158,16,408,70,100,50,50,86,96,noctowl,noctowl,True,261,normal,flying,insomnia,keen-eye,tinted-lens
165,ledyba,53,10,108,55,40,20,30,40,80,ledyba,ledyba,True,262,bug,flying,swarm,early-bird,rattled
166,ledian,137,14,356,85,55,35,50,55,110,ledian,ledian,True,263,bug,flying,swarm,early-bird,iron-fist
167,spinarak,50,5,85,30,40,60,40,40,40,spinarak,spinarak,True,264,bug,poison,swarm,insomnia,sniper
168,ariados,140,11,335,40,70,90,70,60,70,ariados,ariados,True,265,bug,poison,swarm,insomnia,sniper
169,crobat,268,18,750,130,85,90,80,70,80,crobat,crobat,True,75,poison,flying,inner-focus,infiltrator,
170,chinchou,66,5,120,67,75,38,38,56,56,chinchou,chinchou,True,266,water,electric,volt-absorb,illuminate,water-absorb
171,lanturn,161,12,225,67,125,58,58,76,76,lanturn,lanturn,True,267,water,electric,volt-absorb,illuminate,water-absorb
172,pichu,41,3,20,60,20,40,15,35,35,pichu,pichu,True,34,electric,,static,lightning-rod,
173,cleffa,44,3,30,15,50,25,28,45,55,cleffa,cleffa,True,63,fairy,,cute-charm,magic-guard,friend-guard
174,igglybuff,42,3,10,15,90,30,15,40,20,igglybuff,igglybuff,True,70,normal,fairy,cute-charm,competitive,friend-guard
175,togepi,49,3,15,20,35,20,65,40,65,togepi,togepi,True,268,fairy,,hustle,serene-grace,super-luck
176,togetic,142,6,32,40,55,40,85,80,105,togetic,togetic,True,269,fairy,flying,hustle,serene-grace,super-luck
177,natu,64,2,20,70,40,50,45,70,45,natu,natu,True,271,psychic,flying,synchronize,early-bird,magic-bounce
178,xatu,165,15,150,95,65,75,70,95,70,xatu,xatu,True,272,psychic,flying,synchronize,early-bird,magic-bounce
179,mareep,56,6,78,35,55,40,40,65,45,mareep,mareep,True,273,electric,,static,plus,
180,flaaffy,128,8,133,45,70,55,55,80,60,flaaffy,flaaffy,True,274,electric,,static,plus,
181,ampharos,230,14,615,55,90,75,85,115,90,ampharos,ampharos,True,275,electric,,static,plus,
182,bellossom,245,4,58,50,75,80,95,90,100,bellossom,bellossom,True,79,grass,,chlorophyll,healer,
183,marill,88,4,85,40,70,20,50,20,50,marill,marill,True,278,water,fairy,thick-fat,huge-power,sap-sipper
184,azumarill,210,8,285,50,100,50,80,60,80,azumarill,azumarill,True,279,water,fairy,thick-fat,huge-power,sap-sipper
185,sudowoodo,144,12,380,30,70,100,115,30,65,sudowoodo,sudowoodo,True,281,rock,,sturdy,rock-head,rattled
186,politoed,250,11,339,70,90,75,75,90,100,politoed,politoed,True,102,water,,water-absorb,damp,drizzle
187,hoppip,50,4,5,50,35,35,40,35,55,hoppip,hoppip,True,282,grass,flying,chlorophyll,leaf-guard,infiltrator
188,skiploom,119,6,10,80,55,45,50,45,65,skiploom,skiploom,True,283,grass,flying,chlorophyll,leaf-guard,infiltrator
189,jumpluff,207,8,30,110,75,55,70,55,95,jumpluff,jumpluff,True,284,grass,flying,chlorophyll,leaf-guard,infiltrator
190,aipom,72,8,115,85,55,70,55,40,55,aipom,aipom,True,285,normal,,run-away,pickup,skill-link
191,sunkern,36,3,18,30,30,30,30,30,30,sunkern,sunkern,True,287,grass,,chlorophyll,solar-power,early-bird
192,sunflora,149,8,85,30,75,75,55,105,85,sunflora,sunflora,True,288,grass,,chlorophyll,solar-power,early-bird
193,yanma,78,12,380,95,65,65,45,75,45,yanma,yanma,True,289,bug,flying,speed-boost,compound-eyes,frisk
194,wooper,42,4,85,15,55,45,45,25,25,wooper,wooper,True,291,water,ground,damp,water-absorb,unaware
195,quagsire,151,14,750,35,95,85,85,65,65,quagsire,quagsire,True,292,water,ground,damp,water-absorb,unaware
196,espeon,184,9,265,110,65,65,60,130,95,espeon,espeon,True,220,psychic,,synchronize,magic-bounce,
197,umbreon,184,10,270,65,95,65,110,60,130,umbreon,umbreon,True,221,dark,,synchronize,inner-focus,
198,murkrow,81,5,21,91,60,85,42,85,42,murkrow,murkrow,True,293,dark,flying,insomnia,super-luck,prankster
199,slowking,172,20,795,30,95,75,80,100,110,slowking,slowking,True,130,water,psychic,oblivious,own-tempo,regenerator
200,misdreavus,87,7,10,85,60,60,60,85,85,misdreavus,misdreavus,True,295,ghost,,levitate,,
201,unown,118,5,50,48,48,72,48,72,48,unown-a,unown,True,297,psychic,,levitate,,
202,wobbuffet,142,13,285,33,190,33,58,33,58,wobbuffet,wobbuffet,True,299,psychic,,shadow-tag,telepathy,
203,girafarig,159,15,415,85,70,80,65,90,65,girafarig,girafarig,True,300,normal,psychic,inner-focus,early-bird,sap-sipper
204,pineco,58,6,72,15,50,65,90,35,35,pineco,pineco,True,301,bug,,sturdy,overcoat,
205,forretress,163,12,1258,40,75,90,140,60,60,forretress,forretress,True,302,bug,steel,sturdy,overcoat,
206,dunsparce,145,15,140,45,100,70,70,65,65,dunsparce,dunsparce,True,303,normal,,serene-grace,run-away,rattled
207,gligar,86,11,648,85,65,75,105,35,65,gligar,gligar,True,304,ground,flying,hyper-cutter,sand-veil,immunity
208,steelix,179,92,4000,30,75,85,200,55,65,steelix,steelix,True,152,steel,ground,rock-head,sturdy,sheer-force
209,snubbull,60,6,78,30,60,80,50,40,40,snubbull,snubbull,True,306,fairy,,intimidate,run-away,rattled
210,granbull,158,14,487,45,90,120,75,60,60,granbull,granbull,True,307,fairy,,intimidate,quick-feet,rattled
211,qwilfish,88,5,39,85,65,95,85,55,55,qwilfish,qwilfish,True,308,water,poison,poison-point,swift-swim,intimidate
212,scizor,175,18,1180,65,70,130,100,55,80,scizor,scizor,True,197,bug,steel,swarm,technician,light-metal
213,shuckle,177,6,205,5,20,10,230,10,230,shuckle,shuckle,True,309,bug,rock,sturdy,gluttony,contrary
214,heracross,175,15,540,85,80,125,75,40,95,heracross,heracross,True,310,bug,fighting,swarm,guts,moxie
215,sneasel,86,9,280,115,55,95,55,35,75,sneasel,sneasel,True,312,dark,ice,inner-focus,keen-eye,pickpocket
216,teddiursa,66,6,88,40,60,80,50,50,50,teddiursa,teddiursa,True,314,normal,,pickup,quick-feet,honey-gather
217,ursaring,175,18,1258,55,90,130,75,75,75,ursaring,ursaring,True,315,normal,,guts,quick-feet,unnerve
218,slugma,50,7,350,20,40,40,40,70,40,slugma,slugma,True,316,fire,,magma-armor,flame-body,weak-armor
219,magcargo,151,8,550,30,60,50,120,90,80,magcargo,magcargo,True,317,fire,rock,magma-armor,flame-body,weak-armor
220,swinub,50,4,65,50,50,50,40,30,30,swinub,swinub,True,318,ice,ground,oblivious,snow-cloak,thick-fat
221,piloswine,158,11,558,50,100,100,80,60,60,piloswine,piloswine,True,319,ice,ground,oblivious,snow-cloak,thick-fat
222,corsola,144,6,50,35,65,55,95,65,95,corsola,corsola,True,321,water,rock,hustle,natural-cure,regenerator
223,remoraid,60,6,120,65,35,65,35,65,35,remoraid,remoraid,True,323,water,,hustle,sniper,moody
224,octillery,168,9,285,45,75,105,75,105,75,octillery,octillery,True,324,water,,suction-cups,sniper,moody
225,delibird,116,9,160,75,45,55,45,65,45,delibird,delibird,True,325,ice,flying,vital-spirit,hustle,insomnia
226,mantine,170,21,2200,70,85,40,70,80,140,mantine,mantine,True,327,water,flying,swift-swim,water-absorb,water-veil
227,skarmory,163,17,505,70,65,80,140,40,70,skarmory,skarmory,True,328,steel,flying,keen-eye,sturdy,weak-armor
228,houndour,66,6,108,65,45,60,30,80,50,houndour,houndour,True,329,dark,fire,early-bird,flash-fire,unnerve
229,houndoom,175,14,350,95,75,90,50,110,80,houndoom,houndoom,True,330,dark,fire,early-bird,flash-fire,unnerve
230,kingdra,270,18,1520,85,75,95,95,95,95,kingdra,kingdra,True,188,water,dragon,swift-swim,sniper,damp
231,phanpy,66,5,335,40,90,60,60,40,40,phanpy,phanpy,True,332,ground,,pickup,sand-veil,
232,donphan,175,11,1200,50,90,120,120,60,60,donphan,donphan,True,333,ground,,sturdy,sand-veil,
233,porygon2,180,6,325,60,85,80,90,105,95,porygon2,porygon2,True,226,normal,,trace,download,analytic
234,stantler,163,14,712,85,73,95,62,85,65,stantler,stantler,True,334,normal,,intimidate,frisk,sap-sipper
235,smeargle,88,12,580,75,55,20,35,20,45,smeargle,smeargle,True,335,normal,,own-tempo,technician,moody
236,tyrogue,42,7,210,35,35,35,35,35,35,tyrogue,tyrogue,True,167,fighting,,guts,steadfast,vital-spirit
237,hitmontop,159,14,480,70,50,95,95,35,110,hitmontop,hitmontop,True,170,fighting,,intimidate,technician,steadfast
238,smoochum,61,4,60,65,45,30,15,85,65,smoochum,smoochum,True,199,ice,psychic,oblivious,forewarn,hydration
239,elekid,72,6,235,95,45,63,37,65,55,elekid,elekid,True,201,electric,,static,vital-spirit,
240,magby,73,7,214,83,45,75,37,70,55,magby,magby,True,204,fire,,flame-body,vital-spirit,
241,miltank,172,12,755,100,95,80,105,40,70,miltank,miltank,True,336,normal,,thick-fat,scrappy,sap-sipper
242,blissey,635,15,468,55,255,10,10,75,135,blissey,blissey,True,181,normal,,natural-cure,serene-grace,healer
