champ,description_question,variable_reponse,description_reponse,,,,,,
Q2r1,Q2r1: Je comprends le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r1,Q2r1: Je comprends le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r1,Q2r1: Je comprends le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r1,Q2r1: Je comprends le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r2,Q2r2: Je parle le français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r3,Q2r3: Je lis en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r3,Q2r3: Je lis en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r3,Q2r3: Je lis en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r3,Q2r3: Je lis en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r3,Q2r3: Je lis en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r4,Q2r4: J’écris en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r4,Q2r4: J’écris en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r4,Q2r4: J’écris en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r4,Q2r4: J’écris en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r4,Q2r4: J’écris en français - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r5,Q2r5: Je comprends l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r5,Q2r5: Je comprends l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r5,Q2r5: Je comprends l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r5,Q2r5: Je comprends l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r5,Q2r5: Je comprends l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r6,Q2r6: Je parle l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r6,Q2r6: Je parle l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r6,Q2r6: Je parle l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r6,Q2r6: Je parle l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r6,Q2r6: Je parle l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r7,Q2r7: Je lis l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r7,Q2r7: Je lis l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r7,Q2r7: Je lis l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r7,Q2r7: Je lis l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r7,Q2r7: Je lis l’anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
Q2r8,Q2r8: J’écris en anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,1,Parfaitement,,,,,,
Q2r8,Q2r8: J’écris en anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,2,Très bien,,,,,,
Q2r8,Q2r8: J’écris en anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,3,Plutôt bien,,,,,,
Q2r8,Q2r8: J’écris en anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,4,Pas très bien,,,,,,
Q2r8,Q2r8: J’écris en anglais - Veuillez indiquer à quel niveau vous maîtrisez les éléments suivants.,5,Pas du tout,,,,,,
FOY1,"FOY1: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?",0,"NO TO: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Une seule (moi-même)",,,,,,
FOY1,"FOY1: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?",1,"En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Une seule (moi-même)",,,,,,
FOY1_r1,"noanswerFOY1_r1: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Une seule (moi-même) - No Answer",0,"NO TO: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?:  Une seule",,,,,,
FOY1_r1,"noanswerFOY1_r1: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Une seule (moi-même) - No Answer",1,"En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Une seule",,,,,,
FOY1_r99,"noanswerFOY1_r99: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Je préfère ne pas répondre - No Answer",0,"NO TO: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Je préfère ne pas répondre",,,,,,
FOY1_r99,"noanswerFOY1_r99: En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Je préfère ne pas répondre - No Answer",1,"En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants?: Je préfère ne pas répondre",,,,,,
APPAR1,"APPAR1: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.)",,,,,,,,
APP1_r97,"noanswerAPPAR1_r97: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Aucune personne - No Answer",0,"NO TO: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Aucune personne - No Answer",,,,,,
APP1_r97,"noanswerAPPAR1_r97: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Aucune personne - No Answer",1,"De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Aucune personne - No Answer",,,,,,
APP1_r99,"noanswerAPPAR1_r99: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Je préfère ne pas répondre - No Answer",0,"NO TO: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Je préfère ne pas répondre - No Answer",,,,,,
APP1_r99,"noanswerAPPAR1_r99: De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Je préfère ne pas répondre - No Answer",1,"De ces [pipe: FOY1] personnes qui habitent dans votre logement, combien sont des personnes non apparentées (qui ne sont pas des membres de votre famille, exemple colocataires, amis, etc.): Je préfère ne pas répondre - No Answer",,,,,,
ENFAN,ENFAN: Y a-t-il des enfants âgés de MOINS DE 18 ANS habitant avec vous à la maison ?(SI OUI) : Ont-ils 12 ans ET PLUS ou MOINS de 12 ans ?,1,Oui : 12 ans et PLUS SEULEMENT,,,,,,
ENFAN,ENFAN: Y a-t-il des enfants âgés de MOINS DE 18 ANS habitant avec vous à la maison ?(SI OUI) : Ont-ils 12 ans ET PLUS ou MOINS de 12 ans ?,2,Oui : 12 ans et plus ET moins de 12 ans,,,,,,
ENFAN,ENFAN: Y a-t-il des enfants âgés de MOINS DE 18 ANS habitant avec vous à la maison ?(SI OUI) : Ont-ils 12 ans ET PLUS ou MOINS de 12 ans ?,3,Oui : MOINS de 12 ans SEULEMENT,,,,,,
ENFAN,ENFAN: Y a-t-il des enfants âgés de MOINS DE 18 ANS habitant avec vous à la maison ?(SI OUI) : Ont-ils 12 ans ET PLUS ou MOINS de 12 ans ?,4,"Non, aucun enfant de moins de 18 ans à la maison",,,,,,
ENFAN,ENFAN: Y a-t-il des enfants âgés de MOINS DE 18 ANS habitant avec vous à la maison ?(SI OUI) : Ont-ils 12 ans ET PLUS ou MOINS de 12 ans ?,99,Je préfère ne pas répondre,,,,,,
CHARGE,"CHARGE: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?",,,,,,,,
CHAR_r0,"noanswerCHARGE_r0: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Aucun enfant de moins de 18 ans - No Answer",0,"NO TO: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Aucun enfant de moins de 18 ans - No Answer",,,,,,
CHAR_r0,"noanswerCHARGE_r0: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Aucun enfant de moins de 18 ans - No Answer",1,"De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Aucun enfant de moins de 18 ans - No Answer",,,,,,
CHAR_r99,"noanswerCHARGE_r99: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Je préfère ne pas répondre - No Answer",0,"NO TO: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Je préfère ne pas répondre - No Answer",,,,,,
CHAR_r99,"noanswerCHARGE_r99: De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Je préfère ne pas répondre - No Answer",1,"De tous les enfants qui composent votre ménage, combien sont des enfants à votre charge, dont vous êtes financièrement responsable?: Je préfère ne pas répondre - No Answer",,,,,,
Q3r1,Q3r1: En quelle année êtes-vous venu(e) vous installer à Montréal?,,,,,,,,
Q4,Q4: Êtes-vous actuellement :,1,Citoyen(ne) canadien(ne),,,,,,
Q4,Q4: Êtes-vous actuellement :,2,Résident(e) permanent(e),,,,,,
Q4,Q4: Êtes-vous actuellement :,3,Résident(e) non permanent(e),,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,1,Le programme des réfugiés,,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,2,Le programme de réunification avec un membre de la famille déjà au Canada,,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,3,"Le programme d’immigration économique (travailleurs qualifiés et professionnels, investisseurs, entrepreneurs et travailleurs autonomes)",,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,96,Autre (PRÉCISER),,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,98,Je ne sais pas,,,,,,
Q5,Q5: Sous quel programme d’immigration êtes-vous devenu résident permanent au Canada et en quelle année?,99,Je préfère ne pas répondre,,,,,,
Q5O,Q5O: (INSCRIRE L’ANNÉE POUR LE PROGRAMME PERTINENT),,,,,,,,
Q6,Q6: Avez-vous déjà été résident non permanent au Canada?,1,Oui,,,,,,
Q6,Q6: Avez-vous déjà été résident non permanent au Canada?,2,Non,,,,,,
Q6,Q6: Avez-vous déjà été résident non permanent au Canada?,8,Je ne sais pas,,,,,,
Q6,Q6: Avez-vous déjà été résident non permanent au Canada?,9,Je préfère ne pas répondre,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,1,Demandeur d’asile,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,2,Permis d’étude,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,3,Permis de travail,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,4,Touriste,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,98,Je ne sais pas,,,,,,
Q7,Q7: Sous quelle catégorie avez-vous été admis comme résident non permanent au Canada et en quelle année?,99,Je préfère ne pas répondre,,,,,,
Q7O,Q7O: (INSCRIRE L’ANNÉE POUR LE PROGRAMME PERTINENT),,,,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",1,"EMPLOYÉ(E) DE BUREAU (Caissier, commis de bureau, commis comptable, secrétaire, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",2,"PERSONNEL SPÉCIALISÉ DANS LA VENTE (Agent d’assurances, vendeur, commis-vendeur, agent immobilier, courtier immobilier, représentant, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",3,"PERSONNEL SPÉCIALISÉ DANS LES SERVICES (Agent de sécurité, chauffeur de taxi, coiffeur, cuisinier, esthéticienne, membre clergé, militaire, policier, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",4,"TRAVAILLEUR MANUEL (agriculteur, emballeur, journalier, manœuvre, mineur, pêcheur, travailleur forestier, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",5,"OUVRIER SPÉCIALISÉ/SEMI-SPÉCIALISÉ (briqueteur, chauffeur de camion, électricien, machiniste, mécanicien, peintre, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",6,"TRAVAILLEUR DES SCIENCES & TECHNOLOGIES (informaticien, programmeur-analyste, technicien, technicien-audio, technicien de laboratoire, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",7,"PROFESSIONNEL (archéologue, architecte, artiste, avocat, banquier, biologiste, comptable, consultant, dentiste, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",8,"GESTIONNAIRE/ADMINISTRATEUR/PROPRIÉTAIRE (administrateur, directeur, éditeur, entrepreneur, exécutif, gérant, personne d’affaires, politicien, travailleur autonome, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",9,AU FOYER,,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",10,ÉTUDIANT(E) (à temps plein ou dont les études constituent l'occupation principale),,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",11,"RETRAITÉ(E) (pré-retraité, rentier)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",12,"SANS EMPLOI (Assurance-emploi, aide sociale, etc.)",,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",96,Autre (Veuillez préciser),,,,,,
OCCUP,"OCCUP: Quelle est votre occupation principale actuelle ? N.B. ON PARLE DE VOTRE OCCUPATION COURANTE. Même si vous êtes actuellement en congé sabbatique, parental, de maladie ou d’accident de travail, veuillez préciser votre occupation habituelle.",99,Je préfère ne pas répondre,,,,,,
Q10,Q10: Avez-vous cherché un emploi au cours des 4 dernières semaines?,1,Oui,,,,,,
Q10,Q10: Avez-vous cherché un emploi au cours des 4 dernières semaines?,2,Non,,,,,,
Q11,Q11: Êtes-vous disponible pour travailler?,1,Oui,,,,,,
Q11,Q11: Êtes-vous disponible pour travailler?,2,Non,,,,,,
Q13,Q13: Quelle est votre occupation principale?,1,Travailleur salarié,,,,,,
