Name,Height
Matt Carroll,78
Erick Dampier,83
Drew Gooden,82
Gerald Green ,80
Josh Howard,79
Kris Humphries,81
Nathan Jawai,82
Jason Kidd,76
Shawn Marion,79
Ahmad Nivins,81
Dirk Nowitzki,84
Quinton Ross,78
James Singleton ,80
Jason Terry,74
Tim Thomas,82
Shawne Williams,81
David Andersen,83
Trevor Ariza,80
Brent Barry,79
Shane Battier,80
Aaron Brooks,72
Chase Budinger,79
Brian Cook,81
Joey Dorsey,80
Chuck Hayes,78
Carl Landry,81
Sergio Llull,75
Kyle Lowry,72
Tracy McGrady,80
Dikembe Mutombo ,86
Luis Scola,81
Jermaine Taylor,76
James White,79
Yao Ming,90
Darrell Arthur,81
DeMarre Carroll,80
Mike Conley,73
Marc Gasol,85
Rudy Gay,80
Hamed Haddadi,86
Steven Hunter,84
Marko Jaric,79
O.J. Mayo,76
Zach Randolph,81
Hasheem Thabeet,87
Marcus Williams,75
Sam Young,78
Hilton Armstrong,83
Ryan Bowen ,81
Devin Brown,77
Darren Collison,72
Antonio Daniels,76
Ike Diogu,81
Melvin Ely ,82
Sean Marks ,82
Emeka Okafor,82
Chris Paul,72
Morris Peterson,79
James Posey,80
Peja Stojakovic,82
Marcus Thornton,76
David West,81
Julian Wright,80
DeJuan Blair,79
Matt Bonner,82
Nando De Colo,77
Tim Duncan,83
Michael Finley,79
Manu Ginobili,78
Malik Hairston,78
Marcus Haislip,82
George Hill,74
Richard Jefferson,79
Ian Mahinmi,83
Roger Mason,77
Jack McClinton,73
Antonio McDyess,81
Tony Parker,74
Theo Ratliff,82
Ime Udoka ,77
Jacque Vaughn ,73
Marcus Williams,79
Arron Afflalo,77
Malik Allen,82
Chris Andersen,82
Carmelo Anthony,80
Renaldo Balkman,80
Chauncey Billups,75
Anthony Carter,74
Jason Hart ,75
Linas Kleiza ,80
Ty Lawson,71
Kenyon Martin,81
Nenê,83
Johan Petro ,84
J.R. Smith,78
Chucky Atkins,71
Mark Blount,84
Corey Brewer,81
Bobby Brown,74
Brian Cardinal,80
Rodney Carney ,79
Jason Collins ,84
Wayne Ellington,76
Jonny Flynn,72
Ryan Gomes,79
Ryan Hollins,84
Al Jefferson,82
Kevin Love,82
Henk Norel,82
Oleksiy Pecherov,84
Ricky Rubio,76
Darius Songaila,81
Damien Wilkins,78
LaMarcus Aldridge,83
Nicolas Batum,80
Jerryd Bayless,75
Steve Blake,75
Victor Claver,81
Dante Cunningham,80
Rudy Fernandez,78
Raef LaFrentz ,83
Andre Miller,74
Patrick Mills,72
Greg Oden,84
Travis Outlaw,81
Jeff Pendergraph,81
Joel Przybilla,85
Shavlik Randolph ,82
Brandon Roy,78
Michael Ruffin ,80
Martell Webster,79
Nick Collison,82
Kevin Durant,81
Jeff Green,81
James Harden,77
Serge Ibaka,82
Nenad Krstic,84
Shaun Livingston,79
Desmond Mason ,77
B.J. Mullens,84
Kevin Ollie,74
Malik Rose ,79
Thabo Sefolosha,79
Robert Swift ,85
Etan Thomas,82
Robert Vaden,77
Kyle Weaver,78
Russell Westbrook,75
D.J. White,81
Morris Almond ,78
Carlos Boozer,81
Ronnie Brewer,79
Jarron Collins ,83
Kyrylo Fesenko,85
Matt Harpring,79
Andrei Kirilenko,81
Brevin Knight ,70
Kyle Korver,79
Kosta Koufos,84
Eric Maynor,75
C.J. Miles,78
Paul Millsap,80
Mehmet Okur,83
Ronnie Price,74
Goran Suton,82
Deron Williams,75
Kelenna Azubuike,77
Andris Biedrins,83
Speedy Claxton,71
Stephen Curry,75
Monta Ellis,75
Devean George,80
Stephen Jackson,80
Rob Kurz ,81
Acie Law,75
Corey Maggette,78
Anthony Morrow,77
Anthony Randolph,82
Ronny Turiaf,82
C.J. Watson ,74
Brandan Wright,82
Alex Acker ,77
Rasual Butler,79
Marcus Camby,83
Mardy Collins,78
Baron Davis,75
Ricky Davis,79
Eric Gordon,75
Blake Griffin,82
Fred Jones ,74
DeAndre Jordan,83
Chris Kaman,84
Steve Novak ,82
Brian Skinner ,81
Craig Smith,79
Sebastian Telfair,72
Al Thornton,80
Ron Artest,79
Shannon Brown,76
Kobe Bryant,78
Andrew Bynum,84
Chinemelu Elonu,82
Jordan Farmar,74
Derek Fisher,73
Pau Gasol,84
Didier Ilunga-Mbenga,84
Adam Morrison,80
Lamar Odom,82
Josh Powell,81
Sasha Vujacic,79
Luke Walton,80
Louis Amundson,81
Leandro Barbosa,75
Earl Clark,81
Goran Dragic,76
Jared Dudley,79
Channing Frye,83
Taylor Griffin,79
Grant Hill,80
Robin Lopez,84
Steve Nash,75
Aleksandar Pavlovic,79
Jason Richardson,78
Amar'e Stoudemire,82
Alando Tucker,78
Calvin Booth ,83
Jon Brockman,79
Omri Casspi,81
Tyreke Evans,78
Francisco Garcia,79
Donte Greene,83
Spencer Hawes,84
Bobby Jackson ,73
Kevin Martin,79
Sean May,81
Rashad McCants ,76
Andres Nocioni,79
Sergio Rodriguez,75
Cedric Simmons ,81
Kenny Thomas,79
Jason Thompson,83
Beno Udrih,75
